iddocumento,idproduto,dtemissao
0100BHCMAA,01000DCE0Q,2025-11-13T00:00:00.000Z
0100BHCMAA,01000AI3AM,2025-11-13T00:00:00.000Z
0100BHCMAA,01000NZX3J,2025-11-13T00:00:00.000Z
0100BHD301,01000MBPB9,2025-11-13T00:00:00.000Z
0100BHEFJK,01000DVY0T,2025-11-13T00:00:00.000Z
0100BHFG2I,010064H09F,2025-11-13T00:00:00.000Z
0100BHFG2I,01000EV9K6,2025-11-13T00:00:00.000Z
0100BHFG2I,01000CX98F,2025-11-13T00:00:00.000Z
0100BHIKAN,01000U1O9T,2025-11-13T00:00:00.000Z
0100BHIP2F,01000N2M1N,2025-11-13T00:00:00.000Z
0100BHIP2F,01000FOD0Y,2025-11-13T00:00:00.000Z
0100BHIP2F,01000AOW0T,2025-11-13T00:00:00.000Z
0100BHIY0H,01000NON7S,2025-11-13T00:00:00.000Z
0100BHIY0H,01000NON7S,2025-11-13T00:00:00.000Z
0100BHIY0H,01000AF80A,2025-11-13T00:00:00.000Z
0100BHM202,01000E7I0F,2025-11-13T00:00:00.000Z
0100BHME52,01005EULRD,2025-11-13T00:00:00.000Z
0100BHMN45,01005EAP8S,2025-11-13T00:00:00.000Z
0100BH6R3V,01000AOW0T,2025-11-13T00:00:00.000Z
0100BHAF0E,01000N9VA7,2025-11-13T00:00:00.000Z
0100BHEFJK,01000MP7EA,2025-11-13T00:00:00.000Z
0100BHEFJK,01005LV571,2025-11-13T00:00:00.000Z
0100BHM202,01005BW49V,2025-11-13T00:00:00.000Z
0100BHNX2J,01000CCV74,2025-11-13T00:00:00.000Z
0100BHQDRR,01000BZ62E,2025-11-13T00:00:00.000Z
0100BHQDRR,01000MNHKM,2025-11-13T00:00:00.000Z
0100BHQDRR,01008STF01,2025-11-13T00:00:00.000Z
0100BHQDRR,01000CD901,2025-11-13T00:00:00.000Z
0100BHQDRR,01000M2T07,2025-11-13T00:00:00.000Z
0100BHR4CU,01000KYK1H,2025-11-13T00:00:00.000Z
0100BHR4CU,01000LDH0G,2025-11-13T00:00:00.000Z
0100BHR4CU,01000KZTDQ,2025-11-13T00:00:00.000Z
0100BHU82C,01000MP7EA,2025-11-13T00:00:00.000Z
0100BHU82C,01000MP7EA,2025-11-13T00:00:00.000Z
0100BHQS4K,01000OLX7F,2025-11-13T00:00:00.000Z
0100BHU3D1,01000NZV2F,2025-11-13T00:00:00.000Z
0100BHUKMW,01000CX98F,2025-11-13T00:00:00.000Z
0100BHUQIE,01000F9U4A,2025-11-13T00:00:00.000Z
0100BHUQIE,01003M71DK,2025-11-13T00:00:00.000Z
0100BHUX6N,01000KLJGW,2025-11-13T00:00:00.000Z
0100BHUX6N,010009NRB5,2025-11-13T00:00:00.000Z
0100BHV5IS,01005BW49V,2025-11-13T00:00:00.000Z
0100BHV5IS,0100AXPX8T,2025-11-13T00:00:00.000Z
0100BHVE0Z,01000GE1AU,2025-11-13T00:00:00.000Z
0100BHVE0Z,01000L756X,2025-11-13T00:00:00.000Z
0100BHVL1E,01000FLBGS,2025-11-13T00:00:00.000Z
0100BHVL1E,01000KIQ7I,2025-11-13T00:00:00.000Z
0100BHVL1E,01000GE1AU,2025-11-13T00:00:00.000Z
0100BHVL1E,0100B5RE0X,2025-11-13T00:00:00.000Z
0100BHVW0I,01005BW49V,2025-11-13T00:00:00.000Z
0100BHW11J,01000JNS23,2025-11-13T00:00:00.000Z
0100BHW11J,010009MW0A,2025-11-13T00:00:00.000Z
0100BHW9CE,01000NX712,2025-11-13T00:00:00.000Z
0100BHW9CE,01000NX712,2025-11-13T00:00:00.000Z
0100BHWH6S,01000KLB8A,2025-11-13T00:00:00.000Z
0100BHWM04,01005BW49V,2025-11-13T00:00:00.000Z
0100BHWS04,01000NY7O5,2025-11-13T00:00:00.000Z
0100BHWX4W,01000NY92H,2025-11-13T00:00:00.000Z
0100BHX2G2,01000AWX4D,2025-11-13T00:00:00.000Z
0100BHX2G2,01000LAF1J,2025-11-13T00:00:00.000Z
0100BHX2G2,01000N3490,2025-11-13T00:00:00.000Z
0100BHXG1U,01000EUR9E,2025-11-13T00:00:00.000Z
0100BHXG1U,01000NZX3J,2025-11-13T00:00:00.000Z
0100BHXG1U,01000KYMAP,2025-11-13T00:00:00.000Z
0100BHXG1U,01000MN359,2025-11-13T00:00:00.000Z
0100BHXG1U,010091PWSQ,2025-11-13T00:00:00.000Z
0100BHXG1U,01000NYLIQ,2025-11-13T00:00:00.000Z
0100BHXG1U,01000LJF4B,2025-11-13T00:00:00.000Z
0100BHXG1U,01000MND0U,2025-11-13T00:00:00.000Z
0100BHXG1U,01000MLZAU,2025-11-13T00:00:00.000Z
0100BHXG1U,01000DHD72,2025-11-13T00:00:00.000Z
0100BHXG1U,01000L5M0Y,2025-11-13T00:00:00.000Z
0100BHXG1U,01000AFAE3,2025-11-13T00:00:00.000Z
0100BHXG1U,01000KCKJ1,2025-11-13T00:00:00.000Z
0100BHYC4A,01005NMT22,2025-11-13T00:00:00.000Z
0100BHYHC8,01000E0Q4R,2025-11-13T00:00:00.000Z
0100BHYM4C,01000GQE2U,2025-11-13T00:00:00.000Z
0100BHYM4C,0100B5RE0X,2025-11-13T00:00:00.000Z
0100BHYVAH,01000NWI43,2025-11-13T00:00:00.000Z
0100BHYVAH,01000NWI43,2025-11-13T00:00:00.000Z
0100BHYVAH,01000EQM00,2025-11-13T00:00:00.000Z
0100BHYVAH,01005BW49V,2025-11-13T00:00:00.000Z
0100BHZ735,01000NYN3V,2025-11-13T00:00:00.000Z
0100BHZD72,01000AFAE3,2025-11-13T00:00:00.000Z
0100BHZD72,01000L5M0Y,2025-11-13T00:00:00.000Z
0100BHZD72,01000N2E9E,2025-11-13T00:00:00.000Z
0100BHZSA6,01000N97CS,2025-11-13T00:00:00.000Z
0100BHZSA6,01000EQM00,2025-11-13T00:00:00.000Z
0100BHZSA6,01000MNB0I,2025-11-13T00:00:00.000Z
0100BHZSA6,01000O0J39,2025-11-13T00:00:00.000Z
0100BI04KO,01000EPA33,2025-11-13T00:00:00.000Z
0100BI04KO,01005BW49V,2025-11-13T00:00:00.000Z
0100BI0Q1G,01008CS0L4,2025-11-13T00:00:00.000Z
0100BI0F25,01000KEF01,2025-11-13T00:00:00.000Z
0100BI0F25,01000NT4CH,2025-11-13T00:00:00.000Z
0100BI0F25,01000J8J7K,2025-11-13T00:00:00.000Z
0100BHZMS7,0100B8EXCD,2025-11-13T00:00:00.000Z
0100BI0WDR,01000KY658,2025-11-13T00:00:00.000Z
0100BI0WDR,01000N2M1N,2025-11-13T00:00:00.000Z
0100BI13FW,01000M1H3G,2025-11-13T00:00:00.000Z
0100BI13FW,01000MYYF5,2025-11-13T00:00:00.000Z
0100BI13FW,01005BW49V,2025-11-13T00:00:00.000Z
0100BI13FW,01000OLSG2,2025-11-13T00:00:00.000Z
0100BI1G7U,01000M1M4A,2025-11-13T00:00:00.000Z
0100BI1G7U,01008MAD0O,2025-11-13T00:00:00.000Z
0100BI1G7U,01002FKM06,2025-11-13T00:00:00.000Z
0100BI0F25,0100B5RE0X,2025-11-13T00:00:00.000Z
0100BI1UH2,01000O47BX,2025-11-13T00:00:00.000Z
0100BI1UH2,01000FOD0Y,2025-11-13T00:00:00.000Z
0100BI2252,01000MKXCK,2025-11-13T00:00:00.000Z
0100BI299M,01005BW49V,2025-11-13T00:00:00.000Z
0100BI2FGS,01005YN960,2025-11-13T00:00:00.000Z
0100BI2FGS,01003NFSGN,2025-11-13T00:00:00.000Z
0100BI2FGS,01000MZ61P,2025-11-13T00:00:00.000Z
0100BI2FGS,010009YV8K,2025-11-13T00:00:00.000Z
0100BI2FGS,0100657U1A,2025-11-13T00:00:00.000Z
0100BI2FGS,01000MP7EA,2025-11-13T00:00:00.000Z
0100BI2FGS,01000NON7S,2025-11-13T00:00:00.000Z
0100BI2FGS,01000DDXC8,2025-11-13T00:00:00.000Z
0100BI2FGS,010009O3LJ,2025-11-13T00:00:00.000Z
0100BI2FGS,010091PWSQ,2025-11-13T00:00:00.000Z
0100BI36JS,01000N2M1N,2025-11-13T00:00:00.000Z
0100BI36JS,01000N2M1N,2025-11-13T00:00:00.000Z
0100BI36JS,01008MAD0O,2025-11-13T00:00:00.000Z
0100BI36JS,01000N2W4T,2025-11-13T00:00:00.000Z
0100BI36JS,01000N2W4T,2025-11-13T00:00:00.000Z
0100BI36JS,01000NHKF1,2025-11-13T00:00:00.000Z
0100BI36JS,01000KJ0V5,2025-11-13T00:00:00.000Z
0100BI36JS,01000KHM3O,2025-11-13T00:00:00.000Z
0100BI36JS,01000NY92H,2025-11-13T00:00:00.000Z
0100BI36JS,01000NYFFY,2025-11-13T00:00:00.000Z
0100BI3UNW,01000KJ0V5,2025-11-13T00:00:00.000Z
0100BI4K4O,01000KI12W,2025-11-13T00:00:00.000Z
0100BI4K4O,01000LH67P,2025-11-13T00:00:00.000Z
0100BI4K4O,01000KJ0V5,2025-11-13T00:00:00.000Z
0100BI4K4O,01000NUL0T,2025-11-13T00:00:00.000Z
0100BI4K4O,01000NYFFY,2025-11-13T00:00:00.000Z
0100BI3UNW,01000EDWJ9,2025-11-13T00:00:00.000Z
0100BI45EM,01000KOS87,2025-11-13T00:00:00.000Z
0100BI45EM,01000MLZAU,2025-11-13T00:00:00.000Z
0100BI45EM,01000KPW81,2025-11-13T00:00:00.000Z
0100BI4F09,01000N2E9E,2025-11-13T00:00:00.000Z
0100BI4Z28,01000OL7D9,2025-11-13T00:00:00.000Z
0100BI54A6,01000L9I47,2025-11-13T00:00:00.000Z
0100BI54A6,01000KED10,2025-11-13T00:00:00.000Z
0100BI54A6,01000KLX5P,2025-11-13T00:00:00.000Z
0100BI5E2I,01000NZX3J,2025-11-13T00:00:00.000Z
0100BI5E2I,01000AOW0T,2025-11-13T00:00:00.000Z
0100BI3UNW,01000J8ALS,2025-11-13T00:00:00.000Z
0100BI3UNW,01000NYFFY,2025-11-13T00:00:00.000Z
0100BI5U17,01000KZTDQ,2025-11-14T00:00:00.000Z
0100BI5ZEZ,01000N2E9E,2025-11-14T00:00:00.000Z
0100BI65H4,01000KLB8A,2025-11-14T00:00:00.000Z
0100BI6B6T,01000J8J7K,2025-11-14T00:00:00.000Z
0100BI6G3R,01000FWXDI,2025-11-14T00:00:00.000Z
0100BI6M6F,01000M98EF,2025-11-14T00:00:00.000Z
0100BI6SD2,01005NPI08,2025-11-14T00:00:00.000Z
0100BI6SD2,01005NPDCT,2025-11-14T00:00:00.000Z
0100BI737K,01000KICDY,2025-11-14T00:00:00.000Z
0100BI737K,01000KPW81,2025-11-14T00:00:00.000Z
0100BI737K,01000FLBGS,2025-11-14T00:00:00.000Z
0100BI737K,01000FN2B1,2025-11-14T00:00:00.000Z
0100BI737K,01000KEN0G,2025-11-14T00:00:00.000Z
0100BI7H51,01000JP2B1,2025-11-14T00:00:00.000Z
0100BI7OHF,01000L5M0Y,2025-11-14T00:00:00.000Z
0100BI7OHF,01000NYFFY,2025-11-14T00:00:00.000Z
0100BI7OHF,01000CD901,2025-11-14T00:00:00.000Z
0100BI7OHF,01000N2W4T,2025-11-14T00:00:00.000Z
0100BI7OHF,01000KJY9W,2025-11-14T00:00:00.000Z
0100BI7OHF,01000MJ157,2025-11-14T00:00:00.000Z
0100BI7OHF,01000MMF8H,2025-11-14T00:00:00.000Z
0100BI7OHF,01000NY92H,2025-11-14T00:00:00.000Z
0100BI8817,01000GE1AU,2025-11-14T00:00:00.000Z
0100BI8D6J,01000O05AO,2025-11-14T00:00:00.000Z
0100BI8J1S,01000O05AO,2025-11-14T00:00:00.000Z
0100BI8OJL,01000EQC88,2025-11-14T00:00:00.000Z
0100BI8OJL,01000MNHKM,2025-11-14T00:00:00.000Z
0100BI8OJL,01000N9JCM,2025-11-14T00:00:00.000Z
0100BI8OJL,01000O2ODI,2025-11-14T00:00:00.000Z
0100BI8OJL,01000LAF1J,2025-11-14T00:00:00.000Z
0100BI8OJL,01000LAF1J,2025-11-14T00:00:00.000Z
0100BI9326,01000MAP24,2025-11-14T00:00:00.000Z
0100BI9925,01000M3LP0,2025-11-14T00:00:00.000Z
0100BI9925,01000K5T2K,2025-11-14T00:00:00.000Z
0100BI9925,01000MMP5R,2025-11-14T00:00:00.000Z
0100BI9925,01000DDTD7,2025-11-14T00:00:00.000Z
0100BI9925,01000KHM3O,2025-11-14T00:00:00.000Z
0100BI9925,01000KLJGW,2025-11-14T00:00:00.000Z
0100BI9925,01000MNHKM,2025-11-14T00:00:00.000Z
0100BI9925,01000KYC5Q,2025-11-14T00:00:00.000Z
0100BI9T2E,01005BW49V,2025-11-14T00:00:00.000Z
0100BI9T2E,01005BW49V,2025-11-14T00:00:00.000Z
0100BIA1BF,01000KYE8V,2025-11-14T00:00:00.000Z
0100BIA1BF,01000LAF1J,2025-11-14T00:00:00.000Z
0100BIA1BF,01000J8ALS,2025-11-14T00:00:00.000Z
0100BIAB4N,01000NYJBF,2025-11-14T00:00:00.000Z
0100BIAG5N,01000NZX3J,2025-11-14T00:00:00.000Z
0100BIAG5N,01000L5E0C,2025-11-14T00:00:00.000Z
0100BIAG5N,01000N9JCM,2025-11-14T00:00:00.000Z
0100BIAG5N,01000O05AO,2025-11-14T00:00:00.000Z
0100BIAG5N,0100AXQG0Y,2025-11-14T00:00:00.000Z
0100BIAG5N,0100AXQELE,2025-11-14T00:00:00.000Z
0100BIAG5N,01000GE1AU,2025-11-14T00:00:00.000Z
0100BIAZ6D,01000O0J39,2025-11-14T00:00:00.000Z
0100BIAZ6D,01000IMWCV,2025-11-14T00:00:00.000Z
0100BIB6DM,01000JP050,2025-11-14T00:00:00.000Z
0100BIB6DM,01000KIS1C,2025-11-14T00:00:00.000Z
0100BIBE56,01000MUD12,2025-11-14T00:00:00.000Z
0100BIBE56,01008STKD4,2025-11-14T00:00:00.000Z
0100BIBE56,01000MMV3C,2025-11-14T00:00:00.000Z
0100BIBE56,01000EQC88,2025-11-14T00:00:00.000Z
0100BIBE56,01000CD901,2025-11-14T00:00:00.000Z
0100BIBS71,01003UFF0T,2025-11-14T00:00:00.000Z
0100BIBS71,01005NOF4Y,2025-11-14T00:00:00.000Z
0100BIBS71,01003M6W3Z,2025-11-14T00:00:00.000Z
0100BIBS71,01005BW49V,2025-11-14T00:00:00.000Z
0100BIC4BP,010009YV8K,2025-11-14T00:00:00.000Z
0100BIC4BP,01000BU29P,2025-11-14T00:00:00.000Z
0100BIC4BP,01000AOW0T,2025-11-14T00:00:00.000Z
0100BICD3N,01000AUBE8,2025-11-14T00:00:00.000Z
0100BICD3N,01005BW49V,2025-11-14T00:00:00.000Z
0100BICM7H,01003NFSGN,2025-11-14T00:00:00.000Z
0100BICR5P,01000BSF00,2025-11-14T00:00:00.000Z
0100BICR5P,01000J8ALS,2025-11-14T00:00:00.000Z
0100BICR5P,01000MKN7Z,2025-11-14T00:00:00.000Z
0100BICR5P,01000NY92H,2025-11-14T00:00:00.000Z
0100BICR5P,01000MP37G,2025-11-14T00:00:00.000Z
0100BICR5P,01000KOS87,2025-11-14T00:00:00.000Z
0100BID6HC,01000EQC88,2025-11-14T00:00:00.000Z
0100BID6HC,01000MMP5R,2025-11-14T00:00:00.000Z
0100BID6HC,01000O05AO,2025-11-14T00:00:00.000Z
0100BID6HC,01000N2M1N,2025-11-14T00:00:00.000Z
0100BIDH07,01000OL7D9,2025-11-14T00:00:00.000Z
0100BIDH07,01000D9F0O,2025-11-14T00:00:00.000Z
0100BIDPHA,01005RLOBJ,2025-11-14T00:00:00.000Z
0100BIDPHA,01000EWABR,2025-11-14T00:00:00.000Z
0100BIDPHA,01000N6140,2025-11-14T00:00:00.000Z
0100BIDPHA,01000KI8KS,2025-11-14T00:00:00.000Z
0100BIDPHA,01000MLZAU,2025-11-14T00:00:00.000Z
0100BIE27H,01000BU29P,2025-11-14T00:00:00.000Z
0100BIE27H,01000BZ62E,2025-11-14T00:00:00.000Z
0100BIE27H,01000L481N,2025-11-14T00:00:00.000Z
0100BIEB29,01005UI64G,2025-11-14T00:00:00.000Z
0100BIEU5P,01000NZX3J,2025-11-14T00:00:00.000Z
0100BIEU5P,01000ESR0I,2025-11-14T00:00:00.000Z
0100BIEU5P,01000MP7EA,2025-11-14T00:00:00.000Z
0100BIF39Q,0100923R03,2025-11-14T00:00:00.000Z
0100BIEH4S,0100B5RE0X,2025-11-14T00:00:00.000Z
0100BIEH4S,01000HW14B,2025-11-14T00:00:00.000Z
0100BIEH4S,01000E2274,2025-11-14T00:00:00.000Z
0100BIF91D,01000MYYF5,2025-11-14T00:00:00.000Z
0100BIF91D,010009H9NX,2025-11-14T00:00:00.000Z
0100BIF91D,01000KPW81,2025-11-14T00:00:00.000Z
0100BIF91D,01000MNHKM,2025-11-14T00:00:00.000Z
0100BIF91D,01000N97CS,2025-11-14T00:00:00.000Z
0100BIF91D,01000KCY0Y,2025-11-14T00:00:00.000Z
0100BIF91D,01000EV9K6,2025-11-14T00:00:00.000Z
0100BIF91D,01000KY216,2025-11-14T00:00:00.000Z
0100BIF91D,01000MN14Z,2025-11-14T00:00:00.000Z
0100BIF91D,01000N3C06,2025-11-14T00:00:00.000Z
0100BIFW1O,01000M1H3G,2025-11-14T00:00:00.000Z
0100BIFW1O,01000M1H3G,2025-11-14T00:00:00.000Z
0100BIG4BU,01000MJ6H2,2025-11-14T00:00:00.000Z
0100BIG4BU,01000MJ6H2,2025-11-14T00:00:00.000Z
0100BIG4BU,01000FLBGS,2025-11-14T00:00:00.000Z
0100BIGD4J,01000N2M1N,2025-11-14T00:00:00.000Z
0100BIGD4J,01000KD4BG,2025-11-14T00:00:00.000Z
0100BIGD4J,01000KD4BG,2025-11-14T00:00:00.000Z
0100BIGM90,01000BZ62E,2025-11-14T00:00:00.000Z
0100BIGM90,01000H0FLS,2025-11-14T00:00:00.000Z
0100BIGM90,01000AUBE8,2025-11-14T00:00:00.000Z
0100BIGV3A,01000MP7EA,2025-11-14T00:00:00.000Z
0100BIGV3A,01000AFAE3,2025-11-14T00:00:00.000Z
0100BIGV3A,01005BW49V,2025-11-14T00:00:00.000Z
0100BIH4C9,01000KU49H,2025-11-14T00:00:00.000Z
0100BIH9MU,01000AFAE3,2025-11-14T00:00:00.000Z
0100BIH9MU,0100AXT92N,2025-11-14T00:00:00.000Z
0100BIHG5T,01000NYH15,2025-11-14T00:00:00.000Z
0100BIHL9L,01000MMHB6,2025-11-14T00:00:00.000Z
0100BIHL9L,01008K0MAV,2025-11-14T00:00:00.000Z
0100BIHL9L,01000KLJGW,2025-11-14T00:00:00.000Z
0100BIHV48,01000AFAE3,2025-11-14T00:00:00.000Z
0100BII091,01000M1H3G,2025-11-14T00:00:00.000Z
0100BII68V,01000MT44E,2025-11-14T00:00:00.000Z
0100BIIC0C,01000AOW0T,2025-11-14T00:00:00.000Z
0100BIIHIA,01000N2M1N,2025-11-14T00:00:00.000Z
0100BIIHIA,01000J8ALS,2025-11-14T00:00:00.000Z
0100BIIO9X,01000M4103,2025-11-14T00:00:00.000Z
0100BIIO9X,01000NYH15,2025-11-14T00:00:00.000Z
0100BIIO9X,01000LH67P,2025-11-14T00:00:00.000Z
0100BIIX0A,01000MZ61P,2025-11-14T00:00:00.000Z
0100BIJ453,01000NY92H,2025-11-14T00:00:00.000Z
0100BIJ453,01000N2M1N,2025-11-14T00:00:00.000Z
0100BIJB0B,01000AOW0T,2025-11-14T00:00:00.000Z
0100BIJGB2,010091PWSQ,2025-11-14T00:00:00.000Z
0100BIJGB2,010091PWSQ,2025-11-14T00:00:00.000Z
0100BIJO6F,0100AXRE1J,2025-11-14T00:00:00.000Z
0100BIJU00,01000LJBFU,2025-11-14T00:00:00.000Z
0100BIJZ3P,01000KJY9W,2025-11-14T00:00:00.000Z
0100BIK403,01000MJ157,2025-11-14T00:00:00.000Z
0100BIK403,01000MJ157,2025-11-14T00:00:00.000Z
0100BIK403,01000L5M0Y,2025-11-14T00:00:00.000Z
0100BIKD13,01000N2E9E,2025-11-14T00:00:00.000Z
0100BIKJ84,01000JH36Q,2025-11-14T00:00:00.000Z
0100BIKODK,01000N2M1N,2025-11-14T00:00:00.000Z
0100BIKODK,01000KD4BG,2025-11-14T00:00:00.000Z
0100BIKV3U,01000OL7D9,2025-11-14T00:00:00.000Z
0100BIKV3U,01000OL7D9,2025-11-14T00:00:00.000Z
0100BIL2LS,01005BQB1J,2025-11-14T00:00:00.000Z
0100BIL2LS,01000MUI1K,2025-11-14T00:00:00.000Z
0100BIL98C,01000OJPLD,2025-11-14T00:00:00.000Z
0100BILF5B,01000NFADZ,2025-11-14T00:00:00.000Z
0100BILL4B,01000MYYF5,2025-11-14T00:00:00.000Z
0100BILL4B,01000OLD0S,2025-11-14T00:00:00.000Z
0100BILL4B,01000AOW0T,2025-11-14T00:00:00.000Z
0100BILVNH,01000KJ0V5,2025-11-14T00:00:00.000Z
0100BILVNH,01000MMB9Q,2025-11-14T00:00:00.000Z
0100BILVNH,01000AI3AM,2025-11-14T00:00:00.000Z
0100BILVNH,01000KD4BG,2025-11-14T00:00:00.000Z
0100BILVNH,01000KICDY,2025-11-14T00:00:00.000Z
