idpessoa,idproduto,qtitem
01000018N3,01000AOW0T,838
01000018N3,01000APS7T,1
01000018N3,01000APU1N,2.698
01000018N3,01000AQ6BM,1.028
01000018N3,01000ARXFU,16
01000018N3,01000ARZBE,52
01000018N3,01000AS91E,12
01000018N3,01000ASB3A,6
01000018N3,01000ASE04,24
01000018N3,01000ASZ0J,6
01000018N3,01000AT11Q,4.576
01000018N3,01000ATID7,1
01000018N3,01000ATM4D,1
01000018N3,01000ATOM8,2
01000018N3,01000ATS3B,3
01000018N3,01000ATWDV,12
01000018N3,01000AUBE8,23
01000018N3,01000AWX4D,4.686
01000018N3,01000AYCA1,187.222
01000018N3,01000AYE5G,114.018
01000018N3,01000B0VPV,15
01000018N3,01000B2ICK,46
01000018N3,01000B5F57,4
01000018N3,01000B5H2T,1
01000018N3,01000B5J55,2
01000018N3,01000B5P1B,5
01000018N3,01000B7I3U,15
01000018N3,01000B934B,2
01000018N3,01000BCQ0C,13
01000018N3,01000BDCND,76
01000018N3,01000BGD06,1
01000018N3,01000BH10B,1
01000018N3,01000BH80F,6
01000018N3,01000BHZ7H,3
01000018N3,01000BI1CY,4
01000018N3,01000BI385,5.985
01000018N3,01000BITEU,3
01000018N3,01000BIV99,2
01000018N3,01000BIXH4,1
01000018N3,01000BJDA0,2
01000018N3,01000BKMKT,4
01000018N3,01000BL982,49
01000018N3,01000BLB7B,10
01000018N3,01000BLD0U,1
01000018N3,01000BO21Y,10
01000018N3,01000BOTBI,6
01000018N3,01000BPZ5P,3
01000018N3,01000BSF00,5
01000018N3,01000BSH7C,12
01000018N3,01000BSJ4X,8
01000018N3,01000BT50M,11
01000018N3,01000BTF5O,3
01000018N3,01000BTT7L,1
01000018N3,01000BU033,7
01000018N3,01000BU29P,178
01000018N3,01000BU44B,13
01000018N3,01000BUKMD,2
01000018N3,01000BUV4B,14
01000018N3,01000BX20D,1
01000018N3,01000BYK1J,1
01000018N3,01000BYRQ1,26
01000018N3,01000BZ62E,201
01000018N3,01000C090I,12.412
01000018N3,01000C4R0W,13
01000018N3,01000C5M43,9
01000018N3,01000C95E0,1.328
01000018N3,01000CAE6U,2
01000018N3,01000CAT0K,1
01000018N3,01000CB303,5
01000018N3,01000CBD19,56
01000018N3,01000CC2GQ,6
01000018N3,01000CC454,9
01000018N3,01000CCV74,4.7
01000018N3,01000CD2N4,13.604
01000018N3,01000CD79M,8.97
01000018N3,01000CD901,91.2240000000001
01000018N3,01000CDZ5Y,2
01000018N3,01000CE7DK,1
01000018N3,01000CEDJI,7
01000018N3,01000CEF4C,1
01000018N3,01000CG6EI,1
01000018N3,01000CH72A,6
01000018N3,01000CIYHE,2
01000018N3,01000CJIGN,2.05
01000018N3,01000CJONA,0.196
01000018N3,01000CJS4E,2
01000018N3,01000CK20A,1
01000018N3,01000CK6IX,3
01000018N3,01000CKP5G,2
01000018N3,01000CLL48,8
01000018N3,01000CM32M,2
01000018N3,01000CMYDQ,115
01000018N3,01000CN53S,4
01000018N3,01000COG0H,8
01000018N3,01000CQ37I,2
01000018N3,01000CQL2E,1
01000018N3,01000CQN37,13
01000018N3,01000CR37G,2
01000018N3,01000CRS58,6
01000018N3,01000CS547,5
01000018N3,01000CSZ5V,36
01000018N3,01000CVA9F,11
01000018N3,01000CVFSI,12
01000018N3,01000CVP19,6
01000018N3,01000CVR3I,4
01000018N3,01000CVZM1,12
01000018N3,01000CW7AO,9
01000018N3,01000CWW62,2
01000018N3,01000CX0B0,1
01000018N3,01000CX98F,193
01000018N3,01000CY323,6
01000018N3,01000CYG5I,3
01000018N3,01000CZI4X,5
01000018N3,01000D0498,2
01000018N3,01000D0AIJ,1
01000018N3,01000D0G5A,6
01000018N3,01000D1KGA,0.216
01000018N3,01000D3YNK,1
01000018N3,01000D5FEX,2
01000018N3,01000D7C6X,19
01000018N3,01000D7R2W,0.396
01000018N3,01000D83C0,3.368
01000018N3,01000D8U4S,1.828
01000018N3,01000D9333,2.508
01000018N3,01000D9F0O,2.688
01000018N3,01000D9OFM,1.558
01000018N3,01000D9U02,11.245
01000018N3,01000DAW1U,0.676
01000018N3,01000DCE0Q,4.137
01000018N3,01000DDTD7,2.5
01000018N3,01000DFG42,40
01000018N3,01000DGVFZ,5.753
01000018N3,01000DHD72,4.546
01000018N3,01000DHF3A,2
01000018N3,01000DHJ7O,10.274
01000018N3,01000DI3QX,3.384
01000018N3,01000DJ037,2.85
01000018N3,01000DKCPL,5
01000018N3,01000DKOB8,20.157
01000018N3,01000DMN32,4
01000018N3,01000DOH28,1.302
01000018N3,01000DQB52,62
01000018N3,01000DS11G,21
01000018N3,01000DVQ04,29
01000018N3,01000DVU03,1.32
01000018N3,01000DVW4U,1.298
01000018N3,01000DVY0T,25
01000018N3,01000DW41R,5.954
01000018N3,01000DXFA1,0.078
01000018N3,01000DXL0Y,8.192
01000018N3,01000DYB35,1
01000018N3,01000DYZ27,1
01000018N3,01000DZ15P,1
01000018N3,01000DZBF0,11
01000018N3,01000DZDAE,3
01000018N3,01000E0779,3
01000018N3,01000E0HFX,95.5879999999999
01000018N3,01000E0Q4R,4.916
01000018N3,01000E0S06,11
01000018N3,01000E103W,3
01000018N3,01000E141Y,10
01000018N3,01000E2274,67
01000018N3,01000E2G6L,12
01000018N3,01000E3D7A,1
01000018N3,01000E417I,12
01000018N3,01000E471V,11
01000018N3,01000E67DO,8
01000018N3,01000E6B7S,1.563
01000018N3,01000E6PG9,20
01000018N3,01000E7ECK,2
01000018N3,01000E7I0F,86
01000018N3,01000E7L2H,12
01000018N3,01000E85HF,2
01000018N3,01000E875D,2
01000018N3,01000EA657,3
01000018N3,01000EBSM1,3
01000018N3,01000EC5BG,1
01000018N3,01000ECI0D,10
01000018N3,01000ECQ2L,5
01000018N3,01000ED2L8,6
01000018N3,01000EDWJ9,8
01000018N3,01000EEGPR,7
01000018N3,01000EEM4R,2
01000018N3,01000EEQEN,27.165
01000018N3,01000EESF7,6
01000018N3,01000EGO1Y,16
01000018N3,01000EHS0A,12
01000018N3,01000EHZ0F,11
01000018N3,01000EID6D,19
01000018N3,01000EIUQ8,1
01000018N3,01000EIW26,1
01000018N3,01000EJQ0K,46
01000018N3,01000EJS5A,5
01000018N3,01000EJY8Y,10
01000018N3,01000EK835,1
01000018N3,01000EKG06,1
01000018N3,01000EL55B,6
01000018N3,01000EMIEU,3
01000018N3,01000ENA3Y,2
01000018N3,01000ENY14,9
01000018N3,01000EO07V,10
01000018N3,01000EO252,7
01000018N3,01000EOM62,26.273
01000018N3,01000EOO77,39.866
01000018N3,01000EOQPD,16.886
01000018N3,01000EOSBR,2.156
01000018N3,01000EPA33,64.359
01000018N3,01000EPOAI,29.754
01000018N3,01000EPSDK,1
01000018N3,01000EPU1L,3
01000018N3,01000EPW1D,3
01000018N3,01000EQ0H5,2
01000018N3,01000EQA6H,4
01000018N3,01000EQC88,31.979
01000018N3,01000EQK4A,3
01000018N3,01000EQM00,6.92599999999999
01000018N3,01000EQXAF,1
01000018N3,01000ER4DD,1.154
01000018N3,01000ERHOI,0.262
01000018N3,01000ES74N,1.312
01000018N3,01000ESR0I,8.503
01000018N3,01000ET24Z,0.334
01000018N3,01000ETI34,1.756
01000018N3,01000EU765,6.73
01000018N3,01000EUR9E,2.032
01000018N3,01000EV9K6,11.774
01000018N3,01000EW300,8.462
01000018N3,01000EW88G,10.082
01000018N3,01000EWABR,8.958
01000018N3,01000EWC06,0.09
01000018N3,01000EWES5,5.046
01000018N3,01000EWQ4Y,4.026
01000018N3,01000EWW6H,0.372
01000018N3,01000EX92H,6.166
01000018N3,01000F2SAJ,7
01000018N3,01000F5I41,1
01000018N3,01000F7N1G,6
01000018N3,01000F7XCY,21
01000018N3,01000F836I,6
01000018N3,01000F89A1,6
01000018N3,01000F8NLZ,1
01000018N3,01000F9KLS,3
01000018N3,01000F9M5O,7
01000018N3,01000F9OG4,3
01000018N3,01000F9Q6S,7
01000018N3,01000F9U4A,19
01000018N3,01000FAN7I,2
01000018N3,01000FBRK3,16
01000018N3,01000FC5Q8,19
01000018N3,01000FCNLA,7
01000018N3,01000FD7O7,6
01000018N3,01000FDDFU,23
01000018N3,01000FDT2D,1
01000018N3,01000FEJ2O,5
01000018N3,01000FER1M,16
01000018N3,01000FF788,2
01000018N3,01000FFHIF,16
01000018N3,01000FFPGG,44
01000018N3,01000FFR2F,2
01000018N3,01000FFV8D,22
01000018N3,01000FFXBX,1
01000018N3,01000FGM1C,16
01000018N3,01000FGOA1,13
01000018N3,01000FH1LC,30
01000018N3,01000FH523,4
01000018N3,01000FHQIR,1
01000018N3,01000FHS7U,8
01000018N3,01000FJHLC,4
01000018N3,01000FJU6K,22
01000018N3,01000FKEAO,3
01000018N3,01000FKMDW,3
01000018N3,01000FKOKO,22.127
01000018N3,01000FKQ39,2
01000018N3,01000FKS5W,8
01000018N3,01000FKU1M,6
01000018N3,01000FKY12,6
01000018N3,01000FL4FF,2
01000018N3,01000FLBGS,18.091
01000018N3,01000FLS7T,1059
01000018N3,01000FM5GY,1
01000018N3,01000FM7AV,126
01000018N3,01000FMD06,1
01000018N3,01000FMY52,2
01000018N3,01000FN2B1,2.866
01000018N3,01000FNHK9,5
01000018N3,01000FOD0Y,118
01000018N3,01000FORI8,61
01000018N3,01000FOZ1J,1
01000018N3,01000FP56C,8
01000018N3,01000FPJ06,9
01000018N3,01000FPR05,10
01000018N3,01000FPV24,15
01000018N3,01000FPX52,33.149
01000018N3,01000FQ8Q0,11
01000018N3,01000FQSAX,5
01000018N3,01000FQY0N,13
01000018N3,01000FR03T,5
01000018N3,01000FR4GV,12
01000018N3,01000FRKAO,2
01000018N3,01000FRRL1,19
01000018N3,01000FRT5D,19
01000018N3,01000FRVJ1,2
01000018N3,01000FRZ5R,2
01000018N3,01000FS71T,11
01000018N3,01000FSB4T,5
01000018N3,01000FSD6Z,2
01000018N3,01000FSH6L,12
01000018N3,01000FSSEH,1
01000018N3,01000FSWJR,15
01000018N3,01000FSY40,9
01000018N3,01000FT047,1
01000018N3,01000FTU3V,2
01000018N3,01000FUA1P,1
01000018N3,01000FUG2P,6
01000018N3,01000FUU2O,1
01000018N3,01000FV32W,15
01000018N3,01000FVP1X,15
01000018N3,01000FVV3U,12
01000018N3,01000FVX6X,6
01000018N3,01000FVZAO,2
01000018N3,01000FWFLT,12
01000018N3,01000FWXDI,14
01000018N3,01000FX51T,14.152
01000018N3,01000FXF0I,91.347
01000018N3,01000FXPAI,8
01000018N3,01000FZK6K,9
01000018N3,01000FZQ1N,42
01000018N3,01000FZS4T,43
01000018N3,01000G067U,2
01000018N3,01000G0A4S,19
01000018N3,01000G0C20,1
01000018N3,01000G0ID7,3
01000018N3,01000G12W7,4
01000018N3,01000G27FM,19
01000018N3,01000G2QD6,3.45
01000018N3,01000G405J,18
01000018N3,01000G4ZJW,2
01000018N3,01000G7CMI,11
01000018N3,01000G7Q0D,4
01000018N3,01000G85IR,15
01000018N3,01000G87JR,8
01000018N3,01000G8B8Z,7
01000018N3,01000G8DFL,9
01000018N3,01000G8F0E,14
01000018N3,01000G8L50,3
01000018N3,01000G8N3G,1
01000018N3,01000G8WBZ,7
01000018N3,01000G8Y0U,6
01000018N3,01000G963J,8
01000018N3,01000G9AA2,10
01000018N3,01000G9FJ0,10
01000018N3,01000G9HI9,6
01000018N3,01000G9L3X,7
01000018N3,01000GA296,12
01000018N3,01000GA945,7
01000018N3,01000GAD1M,15
01000018N3,01000GAFHA,19
01000018N3,01000GAH7V,5
01000018N3,01000GBA0W,1
01000018N3,01000GDJB7,1
01000018N3,01000GE1AU,1845
01000018N3,01000GHI0X,64
01000018N3,01000GI0KD,2
01000018N3,01000GJ80R,1
01000018N3,01000GPOH7,7
01000018N3,01000GPQ2S,5
01000018N3,01000GQA4L,3
01000018N3,01000GQE2U,11
01000018N3,01000GRO74,6
01000018N3,01000GSN0A,3
01000018N3,01000GSV0B,4
01000018N3,01000GSXDO,10
01000018N3,01000GTBFT,1
01000018N3,01000GTJH4,1
01000018N3,01000GTV06,9
01000018N3,01000GUJO0,3
01000018N3,01000GUO3M,1
01000018N3,01000GV01L,5
01000018N3,01000GVD30,2
01000018N3,01000GVH25,1
01000018N3,01000GVL2B,3
01000018N3,01000GVNN5,3
01000018N3,01000GVP0L,3
01000018N3,01000GWB7C,3
01000018N3,01000GWN00,3
01000018N3,01000GWVE0,3
01000018N3,01000GWXD3,2
01000018N3,01000GWZA3,3
01000018N3,01000GX12A,1
01000018N3,01000GXA8R,2
01000018N3,01000GXS9N,3
01000018N3,01000GYIKS,11
01000018N3,01000GYU0V,2
01000018N3,01000GZ0A5,2
01000018N3,01000GZD1E,1
01000018N3,01000H0FLS,27
01000018N3,01000H0N13,1
01000018N3,01000H1F7K,2
01000018N3,01000H246N,3
01000018N3,01000H2OCE,3
01000018N3,01000H30MI,6
01000018N3,01000H3267,11
01000018N3,01000H3YOU,2
01000018N3,01000H4C0Z,1
01000018N3,01000H4LBT,2
01000018N3,01000H4NH2,4
01000018N3,01000H4P0D,1
01000018N3,01000H550X,3
01000018N3,01000H579V,19
01000018N3,01000H5E7E,22
01000018N3,01000H5J0M,1
01000018N3,01000H5N2Z,3
01000018N3,01000H5Z9Q,8
01000018N3,01000H67OW,7
01000018N3,01000H6P6A,8
01000018N3,01000H73GT,11
01000018N3,01000H75BT,3
01000018N3,01000H815G,2
01000018N3,01000H9BBA,16
01000018N3,01000H9D8W,8
01000018N3,01000H9H00,6
01000018N3,01000H9J6L,10
01000018N3,01000H9L06,6
01000018N3,01000HAFKO,9
01000018N3,01000HARDT,10
01000018N3,01000HBDHL,16
01000018N3,01000HBREJ,5
01000018N3,01000HCAHC,4
01000018N3,01000HCK33,6
01000018N3,01000HDS98,10
01000018N3,01000HE21T,12
01000018N3,01000HE61U,7
01000018N3,01000HEGED,2
01000018N3,01000HET08,5
01000018N3,01000HEXFU,15
01000018N3,01000HGU5G,2
01000018N3,01000HH20B,9
01000018N3,01000HH82U,6
01000018N3,01000HI41T,7
01000018N3,01000HIR7D,1
01000018N3,01000HKZ1O,1
01000018N3,01000HLH0J,52
01000018N3,01000HM3F3,28
01000018N3,01000HN451,19
01000018N3,01000HNI0M,16
01000018N3,01000HOO86,15
01000018N3,01000HOX1Z,10
01000018N3,01000HOZ9X,15
01000018N3,01000HPDDS,12
01000018N3,01000HPL0G,3
01000018N3,01000HPTKJ,7
01000018N3,01000HPV3I,9
01000018N3,01000HPXN9,8
01000018N3,01000HQ18Y,7
01000018N3,01000HQL2O,5
01000018N3,01000HR78E,8
01000018N3,01000HRH2B,13
01000018N3,01000HRL9S,5
01000018N3,01000HRP00,2
01000018N3,01000HSLG1,2
01000018N3,01000HSX2J,1
01000018N3,01000HT706,3
01000018N3,01000HT9FG,11
01000018N3,01000HTBQI,10
01000018N3,01000HTD59,9
01000018N3,01000HTM5N,3
01000018N3,01000HV702,4
01000018N3,01000HVB1A,2
01000018N3,01000HVG1N,1
01000018N3,01000HW14B,31
01000018N3,01000HW726,2
01000018N3,01000HW93R,1
01000018N3,01000HWFSI,1
01000018N3,01000HWH2L,2
01000018N3,01000HYW1J,2
01000018N3,01000HZHIT,6
01000018N3,01000HZJL7,1
01000018N3,01000HZYF7,11
01000018N3,01000I0C3E,3
01000018N3,01000I0OOQ,5
01000018N3,01000I1U5S,2
01000018N3,01000I2E3B,5
01000018N3,01000I2V5Z,1
01000018N3,01000I3T93,4
01000018N3,01000I5RE8,1
01000018N3,01000I6EVI,5
01000018N3,01000I6K0B,4
01000018N3,01000I7055,13
01000018N3,01000I7CA7,2
01000018N3,01000I7EKI,1
01000018N3,01000I7GLE,2
01000018N3,01000I7Q91,2
01000018N3,01000I81PP,3
01000018N3,01000I8D83,3
01000018N3,01000I9037,2
01000018N3,01000I9GNB,9
01000018N3,01000I9R1X,9
01000018N3,01000IA933,2
01000018N3,01000IAO4D,7
01000018N3,01000IBJFO,1
01000018N3,01000ICOA8,2
01000018N3,01000IDO0G,5
01000018N3,01000IE80Q,10
01000018N3,01000IEK2W,4
01000018N3,01000IFGCG,3
01000018N3,01000IFI0H,1
01000018N3,01000IGE0S,5
01000018N3,01000IGGIQ,2
01000018N3,01000IGI96,4
01000018N3,01000IHB7L,4
01000018N3,01000IHDNS,4
01000018N3,01000II849,5
01000018N3,01000IIW1N,1
01000018N3,01000IJ4FK,1
01000018N3,01000IK6L6,15
01000018N3,01000IKEDC,1
01000018N3,01000IKQNK,6
01000018N3,01000IMWCV,6.348
01000018N3,01000IQT1E,2
01000018N3,01000IUQE2,7
01000018N3,01000IUSTE,1
01000018N3,01000IUUHP,7
01000018N3,01000IVK1B,2
01000018N3,01000IVU3J,3
01000018N3,01000IVY0C,5
01000018N3,01000IWO9Z,1
01000018N3,01000IWQ04,5
01000018N3,01000IWS0T,3
01000018N3,01000IWUL3,1
01000018N3,01000IWW2M,9
01000018N3,01000IWYO4,5
01000018N3,01000IX0CR,3
01000018N3,01000IX296,14
01000018N3,01000IY103,4
01000018N3,01000IYZC6,3
01000018N3,01000IZ1IE,6
01000018N3,01000IZ3EJ,14
01000018N3,01000J011F,3
01000018N3,01000J037L,1
01000018N3,01000J0S18,1
01000018N3,01000J0UEO,7
01000018N3,01000J0YD1,4
01000018N3,01000J104L,2
01000018N3,01000J142H,5
01000018N3,01000J167J,6
01000018N3,01000J1O07,6
01000018N3,01000J1Q47,4
01000018N3,01000J1SFF,2
01000018N3,01000J1UGA,3
01000018N3,01000J1WLZ,6
01000018N3,01000J1YBL,2
01000018N3,01000J207P,15
01000018N3,01000J229F,4
01000018N3,01000J24BX,26
01000018N3,01000J26GU,2
01000018N3,01000J287S,3
01000018N3,01000J2U3G,4
01000018N3,01000J305C,3
01000018N3,01000J362H,3
01000018N3,01000J3844,8
01000018N3,01000J3O4R,3
01000018N3,01000J46GO,1
01000018N3,01000J483J,3
01000018N3,01000J4IGT,5
01000018N3,01000J5SSD,1
01000018N3,01000J5U0J,2
01000018N3,01000J6E1G,7
01000018N3,01000J6I1E,9
01000018N3,01000J797U,4
01000018N3,01000J7K0I,22
01000018N3,01000J8ALS,25.144
01000018N3,01000J8H82,2
01000018N3,01000J8J7K,16
01000018N3,01000J9607,1
01000018N3,01000J9B4B,1
01000018N3,01000J9G93,1
01000018N3,01000J9QBJ,6
01000018N3,01000JA01U,8
01000018N3,01000JA20G,10
01000018N3,01000JA4KT,15
01000018N3,01000JA69K,7
01000018N3,01000JA871,5
01000018N3,01000JAC8G,14
01000018N3,01000JAFBD,8
01000018N3,01000JAI1Q,9
01000018N3,01000JAU20,12
01000018N3,01000JDQ2C,2
01000018N3,01000JE44T,3
01000018N3,01000JEAO4,5
01000018N3,01000JEC0X,3
01000018N3,01000JES3E,3
01000018N3,01000JEUAZ,2
01000018N3,01000JGD1W,4
01000018N3,01000JGFC7,3
01000018N3,01000JH36Q,25
01000018N3,01000JIIKN,2
01000018N3,01000JIUK0,11
01000018N3,01000JIW6T,9
01000018N3,01000JJ652,3
01000018N3,01000JJALM,4
01000018N3,01000JJKD1,3
01000018N3,01000JJO1M,2
01000018N3,01000JK11C,10
01000018N3,01000JKDEV,2
01000018N3,01000JKJ6D,1
01000018N3,01000JKT37,2
01000018N3,01000JKZ0K,3
01000018N3,01000JL8TG,2
01000018N3,01000JLEEI,1
01000018N3,01000JLI4E,4
01000018N3,01000JM6LP,3
01000018N3,01000JMADY,1
01000018N3,01000JME9N,3
01000018N3,01000JMK8P,2
01000018N3,01000JMOA0,4
01000018N3,01000JMQ3T,5
01000018N3,01000JMUQP,3
01000018N3,01000JMW03,9
01000018N3,01000JMY40,51
01000018N3,01000JNI3Q,2
01000018N3,01000JNKFW,2
01000018N3,01000JNOGE,2
01000018N3,01000JNQ29,5
01000018N3,01000JNS23,22
01000018N3,01000JNU7R,7
01000018N3,01000JNY0I,7
01000018N3,01000JO0BL,3
01000018N3,01000JO2CY,8
01000018N3,01000JO41C,1
01000018N3,01000JO60G,8
01000018N3,01000JO8D3,8
01000018N3,01000JOA0H,5
01000018N3,01000JOC13,1
01000018N3,01000JOE61,18
01000018N3,01000JOGF0,1
01000018N3,01000JOI3B,2
01000018N3,01000JOKC4,1
01000018N3,01000JOMHA,11
01000018N3,01000JOO5S,3
01000018N3,01000JOQ6C,1
01000018N3,01000JOUM5,7
01000018N3,01000JOWS1,1
01000018N3,01000JOY5C,1
01000018N3,01000JP050,16
01000018N3,01000JP2B1,12
01000018N3,01000JP432,1
01000018N3,01000JP6A0,6
01000018N3,01000JP8CN,4
01000018N3,01000JPA1D,13
01000018N3,01000JPC56,1
01000018N3,01000JRTBZ,6
01000018N3,01000JSA6V,1
01000018N3,01000JYO5P,37
01000018N3,01000K0ED8,8
01000018N3,01000K4V5D,2
01000018N3,01000K5T2K,6.582
01000018N3,01000K6Z4R,6
01000018N3,01000K75CD,1
01000018N3,01000K7E42,59
01000018N3,01000K8JBX,5
01000018N3,01000K901G,8.432
01000018N3,01000K9205,4
01000018N3,01000K9A95,0.11
01000018N3,01000K9C78,8
01000018N3,01000KCKJ1,10
01000018N3,01000KCUFP,9.68
01000018N3,01000KCY0Y,11.36
01000018N3,01000KD0CO,1.706
01000018N3,01000KD4BG,5.896
01000018N3,01000KD92X,1
01000018N3,01000KDF9H,1
01000018N3,01000KDH1C,2
01000018N3,01000KE14V,16
01000018N3,01000KE303,1
01000018N3,01000KE5EV,1
01000018N3,01000KEB58,4
01000018N3,01000KED10,50.362
01000018N3,01000KEF01,17.315
01000018N3,01000KEJEA,11.354
01000018N3,01000KEN0G,0.226
01000018N3,01000KEPFT,3
01000018N3,01000KF91G,2.234
01000018N3,01000KGQM2,11.956
01000018N3,01000KGX1W,1.836
01000018N3,01000KH2SL,10.737
01000018N3,01000KH8AN,0.356
01000018N3,01000KHI3P,0.122
01000018N3,01000KHM3O,6.869
01000018N3,01000KHOAD,3.646
01000018N3,01000KHZH0,4.502
01000018N3,01000KI12W,0.998
01000018N3,01000KI36B,0.102
01000018N3,01000KI8KS,4.366
01000018N3,01000KICDY,8.778
01000018N3,01000KIQ7I,5.516
01000018N3,01000KIS1C,34.48
01000018N3,01000KIYCB,23.375
01000018N3,01000KJ0V5,19.241
01000018N3,01000KJ828,5.682
01000018N3,01000KJWAP,0.496
01000018N3,01000KJY9W,14.034
01000018N3,01000KK2JH,1.84
01000018N3,01000KKJ48,7.12
01000018N3,01000KKLCL,1.338
01000018N3,01000KKPBI,1.26
01000018N3,01000KKX1D,0.062
01000018N3,01000KL9OT,1.986
01000018N3,01000KLB8A,18.305
01000018N3,01000KLF1V,1.638
01000018N3,01000KLHIR,12.058
01000018N3,01000KLJGW,23.705
01000018N3,01000KLX5P,17.078
01000018N3,01000KM1AH,5.148
01000018N3,01000KM7NG,7.91
01000018N3,01000KML5S,0.796
01000018N3,01000KMW1Q,0.55
01000018N3,01000KN5RF,1.614
01000018N3,01000KNY1P,2.318
01000018N3,01000KOKCB,13.166
01000018N3,01000KOQ54,3.254
01000018N3,01000KOS87,6.853
01000018N3,01000KOUDC,2.028
01000018N3,01000KOY0Y,0.276
01000018N3,01000KP4FI,2.488
01000018N3,01000KP623,7.856
01000018N3,01000KPH1Q,1.272
01000018N3,01000KPW81,26.754
01000018N3,01000KQ298,4.834
01000018N3,01000KQ83N,10.068
01000018N3,01000KQI78,0.73
01000018N3,01000KRM02,20.418
01000018N3,01000KRYJG,69.4429999999999
01000018N3,01000KS4O8,3.924
01000018N3,01000KSEFM,3.546
01000018N3,01000KTOJV,5.438
01000018N3,01000KU49H,20.109
01000018N3,01000KVADE,2.008
01000018N3,01000KVK7J,3.394
01000018N3,01000KXEK0,1.24
01000018N3,01000KXQ4I,0.492
01000018N3,01000KXS20,13.236
01000018N3,01000KXU04,6.624
01000018N3,01000KY216,20.678
01000018N3,01000KY658,2.51
01000018N3,01000KYC5Q,1.134
01000018N3,01000KYE8V,16.292
01000018N3,01000KYG1T,8.812
01000018N3,01000KYK1H,76.0410000000001
01000018N3,01000KYMAP,16.358
01000018N3,01000KYOE4,0.64
01000018N3,01000KYS36,14.928
01000018N3,01000KYUA3,7
01000018N3,01000KZ005,2
01000018N3,01000KZE95,4
01000018N3,01000KZG8Q,2
01000018N3,01000KZLD7,3.7
01000018N3,01000KZN5G,1.106
01000018N3,01000KZTDQ,61.263
01000018N3,01000L038H,1.538
01000018N3,01000L076O,3.524
01000018N3,01000L0F00,1.166
01000018N3,01000L0K79,1
01000018N3,01000L11AD,5.192
01000018N3,01000L1508,26.502
01000018N3,01000L1S6B,2
01000018N3,01000L24GR,1.695
