idpessoa,cidade,uf,risk_score,confidence,abc,recommended_product,pitch
0100029E41,"Sorocaba",SP,100.00,90.00,,01000FLBGS,"Produto muito procurado por clientes corporativos."
010002ENDU,"Sorocaba",SP,100.00,90.00,,01000KRYJG,"Produto com alta aceitação entre o público masculino."
010002EF06,"Sorocaba",SP,100.00,90.00,,01000KRYJG,"Produto com alta aceitação entre o público masculino."
010002ER5S,"Sorocaba",SP,100.00,90.00,,01000KRYJG,"Produto com alta aceitação entre o público masculino."
010002CZ22,"Sorocaba",SP,100.00,90.00,,01000KRYJG,"Produto com alta aceitação entre o público masculino."
010002DUD1,"Sorocaba",SP,100.00,90.00,,01000FLBGS,"Produto muito procurado por clientes corporativos."
010002EX46,"Sorocaba",SP,100.00,90.00,,01000KRYJG,"Produto com alta aceitação entre o público masculino."
010002BT14,"Sorocaba",SP,100.00,90.00,,01000AYE5G,"Produto muito procurado por clientes corporativos."
010002ES4I,"Sorocaba",SP,100.00,90.00,,01000KRYJG,"Produto com alta aceitação entre o público masculino."
010002EB5W,"Sorocaba",SP,100.00,90.00,,01000AYE5G,"Produto muito procurado por clientes corporativos."
010002DV3F,"Sorocaba",SP,100.00,90.00,,01000KRYJG,"Produto com alta aceitação entre o público masculino."
010002EIEG,"Sorocaba",SP,100.00,90.00,,01000KRYJG,"Produto com alta aceitação entre o público masculino."
010002F01V,"Sorocaba",SP,100.00,90.00,,01000KRYJG,"Produto com alta aceitação entre o público masculino."
010002CC5K,"Sorocaba",SP,100.00,90.00,,01000KRYJG,"Produto com alta aceitação entre o público masculino."
0100029956,"Sorocaba",SP,100.00,90.00,,01000AYE5G,"Produto muito procurado por clientes corporativos."
010002CYDV,"Sorocaba",SP,100.00,90.00,,01000AYE5G,"Produto muito procurado por clientes corporativos."
010002CS24,"Sorocaba",SP,100.00,90.00,,01000KRYJG,"Produto com alta aceitação entre o público masculino."
010002DY2E,"Sorocaba",SP,100.00,90.00,,01000KRYJG,"Produto com alta aceitação entre o público masculino."
010002E360,"Sorocaba",SP,100.00,90.00,,01000KRYJG,"Produto com alta aceitação entre o público masculino."
010002AP45,"Sorocaba",SP,100.00,90.00,,01000KRYJG,"Produto com alta aceitação entre o público masculino."
010002AF0M,"Sorocaba",SP,100.00,90.00,,01000FLBGS,"Produto muito procurado por clientes corporativos."
010002EG65,"Sorocaba",SP,100.00,90.00,,01000KRYJG,"Produto com alta aceitação entre o público masculino."
010002CELC,"Sorocaba",SP,100.00,90.00,,01000FLBGS,"Produto muito procurado por clientes corporativos."
010002DLG8,"Sorocaba",SP,100.00,90.00,,01000KRYJG,"Produto com alta aceitação entre o público masculino."
010002B538,"Sorocaba",SP,100.00,90.00,,01000KRYJG,"Produto com alta aceitação entre o público masculino."
0100028ZJ6,"Sorocaba",SP,100.00,90.00,,01000AYE5G,"Produto muito procurado por clientes corporativos."
0100029CI8,"Sorocaba",SP,100.00,90.00,,01000KRYJG,"Produto com alta aceitação entre o público masculino."
0100029OIC,"Sorocaba",SP,100.00,90.00,,01000FLBGS,"Produto muito procurado por clientes corporativos."
010002EJ12,"Sorocaba",SP,100.00,90.00,,01000KRYJG,"Produto com alta aceitação entre o público masculino."
010002EEJG,"Sorocaba",SP,100.00,90.00,,01000KRYJG,"Produto com alta aceitação entre o público masculino."
010002D650,"Sorocaba",SP,100.00,90.00,,01000KRYJG,"Produto com alta aceitação entre o público masculino."
010002CHA0,"Sorocaba",SP,100.00,90.00,,01000FXF0I,"Produto com alta aceitação entre o público masculino."
010002CI4W,"Sorocaba",SP,100.00,90.00,,01000KRYJG,"Produto com alta aceitação entre o público masculino."
010002BO1Y,"Sorocaba",SP,100.00,90.00,,01000AYE5G,"Produto muito procurado por clientes corporativos."
010002CNO0,"Sorocaba",SP,100.00,90.00,,01000AYE5G,"Produto muito procurado por clientes corporativos."
0100029I03,"Sorocaba",SP,100.00,90.00,,01000KRYJG,"Produto com alta aceitação entre o público masculino."
010002DC66,"Sorocaba",SP,100.00,90.00,,01000FLBGS,"Produto muito procurado por clientes corporativos."
010002EKH8,"Sorocaba",SP,100.00,90.00,,01000FLBGS,"Produto muito procurado por clientes corporativos."
010002DD77,"Sorocaba",SP,100.00,90.00,,01000KRYJG,"Produto com alta aceitação entre o público masculino."
010002CJ11,"Sorocaba",SP,100.00,90.00,,01000KRYJG,"Produto com alta aceitação entre o público masculino."
010002DK4K,"Sorocaba",SP,100.00,90.00,,01000KRYJG,"Produto com alta aceitação entre o público masculino."
010002E12C,"Sorocaba",SP,100.00,90.00,,01000KRYJG,"Produto com alta aceitação entre o público masculino."
010002EC59,"Sorocaba",SP,100.00,90.00,,01000KRYJG,"Produto com alta aceitação entre o público masculino."
010002F42M,"Sorocaba",SP,100.00,90.00,,01000KRYJG,"Produto com alta aceitação entre o público masculino."
010002AS84,"Sorocaba",SP,100.00,90.00,,01000AYE5G,"Produto muito procurado por clientes corporativos."
0100024815,"Sorocaba",SP,100.00,90.00,,01000KRYJG,"Produto com alta aceitação entre o público masculino."
010002C3B5,"Sorocaba",SP,100.00,90.00,,01000FLBGS,"Produto muito procurado por clientes corporativos."
0100029X2X,"Sorocaba",SP,100.00,90.00,,01000KRYJG,"Produto com alta aceitação entre o público masculino."
0100029H06,"Sorocaba",SP,100.00,90.00,,01000FLBGS,"Produto muito procurado por clientes corporativos."
010002566N,"Sorocaba",SP,100.00,90.00,,01000E0HFX,"Produto com alta aceitação entre o público feminino."
010002BX40,"Sorocaba",SP,100.00,90.00,,01000AYE5G,"Produto muito procurado por clientes corporativos."
0100028U20,"Sorocaba",SP,100.00,90.00,,01000KRYJG,"Produto com alta aceitação entre o público masculino."
0100024NJS,"Sorocaba",SP,100.00,90.00,,01000KRYJG,"Produto com alta aceitação entre o público masculino."
0100029P1L,"Sorocaba",SP,100.00,90.00,,01000KRYJG,"Produto com alta aceitação entre o público masculino."
010002A55D,"Sorocaba",SP,100.00,90.00,,01000KRYJG,"Produto com alta aceitação entre o público masculino."
010002B0EG,"Sorocaba",SP,100.00,90.00,,01000E0HFX,"Produto com alta aceitação entre o público feminino."
0100029173,"Sorocaba",SP,100.00,90.00,,01000FLBGS,"Produto muito procurado por clientes corporativos."
0100027OHF,"Sorocaba",SP,100.00,90.00,,01000AYE5G,"Produto muito procurado por clientes corporativos."
0100024PDM,"Sorocaba",SP,100.00,90.00,,01000KRYJG,"Produto com alta aceitação entre o público masculino."
010002DB0P,"Sorocaba",SP,100.00,90.00,,01000FLBGS,"Produto muito procurado por clientes corporativos."
0100029Q05,"Sorocaba",SP,100.00,90.00,,01000KRYJG,"Produto com alta aceitação entre o público masculino."
010002C8B8,"Sorocaba",SP,100.00,90.00,,01000KRYJG,"Produto com alta aceitação entre o público masculino."
010002C64B,"Sorocaba",SP,100.00,90.00,,01000KRYJG,"Produto com alta aceitação entre o público masculino."
010000KNAK,"Sorocaba",SP,100.00,90.00,,01000KRYJG,"Produto com alta aceitação entre o público masculino."
0100027BG4,"Sorocaba",SP,100.00,90.00,,01000KRYJG,"Produto com alta aceitação entre o público masculino."
0100026067,"Sorocaba",SP,100.00,90.00,,01000FLBGS,"Produto muito procurado por clientes corporativos."
0100027P7V,"Sorocaba",SP,100.00,90.00,,01000FLBGS,"Produto muito procurado por clientes corporativos."
010002DH2C,"Sorocaba",SP,100.00,90.00,,01000KRYJG,"Produto com alta aceitação entre o público masculino."
010002BWJC,"Sorocaba",SP,100.00,90.00,,01000FLBGS,"Produto muito procurado por clientes corporativos."
0100027K5Q,"Sorocaba",SP,100.00,90.00,,01000FLBGS,"Produto muito procurado por clientes corporativos."
010002444F,"Sorocaba",SP,100.00,90.00,,01000KRYJG,"Produto com alta aceitação entre o público masculino."
0100027HED,"Sorocaba",SP,100.00,90.00,,01000KRYJG,"Produto com alta aceitação entre o público masculino."
010002901Y,"Sorocaba",SP,100.00,90.00,,01000FLBGS,"Produto muito procurado por clientes corporativos."
010002811H,"Sorocaba",SP,100.00,90.00,,01000AYE5G,"Produto muito procurado por clientes corporativos."
010000WGIJ,"Sorocaba",SP,100.00,90.00,,01000AYE5G,"Produto muito procurado por clientes corporativos."
0100024B08,"Sorocaba",SP,100.00,90.00,,01000AYE5G,"Produto muito procurado por clientes corporativos."
0100026LIE,"Sorocaba",SP,100.00,90.00,,01000FLBGS,"Produto muito procurado por clientes corporativos."
010002759B,"Sorocaba",SP,100.00,90.00,,01000KRYJG,"Produto com alta aceitação entre o público masculino."
0100028554,"Sorocaba",SP,100.00,90.00,,01000FLBGS,"Produto muito procurado por clientes corporativos."
0100026ADR,"Sorocaba",SP,100.00,90.00,,01000KRYJG,"Produto com alta aceitação entre o público masculino."
0100026F3C,"Sorocaba",SP,100.00,90.00,,01000FLBGS,"Produto muito procurado por clientes corporativos."
010002DTG8,"Sorocaba",SP,100.00,90.00,,01000AYE5G,"Produto muito procurado por clientes corporativos."
010002CVFR,"Sorocaba",SP,100.00,90.00,,01000FLBGS,"Produto muito procurado por clientes corporativos."
010000PE03,"Sorocaba",SP,100.00,90.00,,01000N2W4T,"Sucesso de vendas na sua região."
010002CD0X,"Sorocaba",SP,100.00,90.00,,01000FLBGS,"Produto muito procurado por clientes corporativos."
010002CL5W,"Sorocaba",SP,100.00,90.00,,01000AYE5G,"Produto muito procurado por clientes corporativos."
010002CK34,"Sorocaba",SP,100.00,90.00,,01000FLBGS,"Produto muito procurado por clientes corporativos."
010002CF2X,"Sorocaba",SP,100.00,90.00,,01000KRYJG,"Produto com alta aceitação entre o público masculino."
010002B73Q,"Sorocaba",SP,100.00,90.00,,01000AYE5G,"Produto muito procurado por clientes corporativos."
010002B414,"Sorocaba",SP,100.00,90.00,,01000KRYJG,"Produto com alta aceitação entre o público masculino."
010002B81M,"Sorocaba",SP,100.00,90.00,,01000FLBGS,"Produto muito procurado por clientes corporativos."
010002BE8J,"Sorocaba",SP,100.00,90.00,,01000FLBGS,"Produto muito procurado por clientes corporativos."
010002B242,"Sorocaba",SP,100.00,90.00,,01000FLBGS,"Produto muito procurado por clientes corporativos."
010002AV18,"Sorocaba",SP,100.00,90.00,,01000KRYJG,"Produto com alta aceitação entre o público masculino."
010002A23P,"Sorocaba",SP,100.00,90.00,,01000AYE5G,"Produto muito procurado por clientes corporativos."
0100025959,"Sorocaba",SP,100.00,90.00,,01000FLBGS,"Produto muito procurado por clientes corporativos."
0100028AP3,"Sorocaba",SP,100.00,90.00,,01000KRYJG,"Produto com alta aceitação entre o público masculino."
010002BB82,"Sorocaba",SP,100.00,90.00,,01000FLBGS,"Produto muito procurado por clientes corporativos."
010002DA3Y,"Sorocaba",SP,100.00,90.00,,01000FLBGS,"Produto muito procurado por clientes corporativos."
010002CPAM,"Sorocaba",SP,100.00,90.00,,01000KRYJG,"Produto com alta aceitação entre o público masculino."
010002DX23,"Sorocaba",SP,100.00,90.00,,01000KRYJG,"Produto com alta aceitação entre o público masculino."
0100028DLD,"Sorocaba",SP,100.00,90.00,,0100B5RE0X,"Produto com alta aceitação entre o público masculino."
010002BAIM,"Sorocaba",SP,100.00,90.00,,01000FLBGS,"Produto muito procurado por clientes corporativos."
010002CQ00,"Sorocaba",SP,100.00,90.00,,01000KRYJG,"Produto com alta aceitação entre o público masculino."
0100028L8I,"Sorocaba",SP,100.00,90.00,,01000AYE5G,"Produto muito procurado por clientes corporativos."
010002DE02,"Sorocaba",SP,100.00,90.00,,01000KRYJG,"Produto com alta aceitação entre o público masculino."
010002E0HU,"Sorocaba",SP,100.00,90.00,,01000KRYJG,"Produto com alta aceitação entre o público masculino."
010000PZD3,"Sorocaba",SP,100.00,90.00,,01000KRYJG,"Produto com alta aceitação entre o público masculino."
010000O790,"Sorocaba",SP,100.00,90.00,,01000KRYJG,"Produto com alta aceitação entre o público masculino."
0100023C86,"Sorocaba",SP,100.00,90.00,,01000FLBGS,"Produto muito procurado por clientes corporativos."
010000YC06,"Sorocaba",SP,100.00,90.00,,01000KRYJG,"Produto com alta aceitação entre o público masculino."
010002527V,"Sorocaba",SP,100.00,90.00,,01000KRYJG,"Produto com alta aceitação entre o público masculino."
010000OC4V,"Sorocaba",SP,100.00,90.00,,01000N2W4T,"Sucesso de vendas na sua região."
0100026455,"Sorocaba",SP,100.00,90.00,,01000FLBGS,"Produto muito procurado por clientes corporativos."
010002C7CW,"Sorocaba",SP,100.00,90.00,,01000KRYJG,"Produto com alta aceitação entre o público masculino."
010000OE3J,"Sorocaba",SP,100.00,90.00,,01000KRYJG,"Produto com alta aceitação entre o público masculino."
010000KY27,"Sorocaba",SP,100.00,90.00,,01000KRYJG,"Produto com alta aceitação entre o público masculino."
0100027LB6,"Sorocaba",SP,100.00,90.00,,01000AYE5G,"Produto muito procurado por clientes corporativos."
0100027919,"Sorocaba",SP,100.00,90.00,,01000AYE5G,"Produto muito procurado por clientes corporativos."
010000Q4QM,"Sorocaba",SP,100.00,90.00,,01000KRYJG,"Produto com alta aceitação entre o público masculino."
01000276QB,"Sorocaba",SP,100.00,90.00,,01000KRYJG,"Produto com alta aceitação entre o público masculino."
0100024U9N,"Sorocaba",SP,100.00,90.00,,01000FLBGS,"Produto muito procurado por clientes corporativos."
0100026UBD,"Sorocaba",SP,100.00,90.00,,01000KRYJG,"Produto com alta aceitação entre o público masculino."
010000Q64O,"Sorocaba",SP,100.00,90.00,,01000KRYJG,"Produto com alta aceitação entre o público masculino."
010000KK17,"Sorocaba",SP,100.00,90.00,,01000KJ0V5,"Sucesso de vendas na sua região."
010002BS1K,"Sorocaba",SP,100.00,90.00,,01000AYE5G,"Produto muito procurado por clientes corporativos."
0100027G8M,"Sorocaba",SP,100.00,90.00,,01000FLBGS,"Produto muito procurado por clientes corporativos."
0100027M6H,"Sorocaba",SP,100.00,90.00,,01000KRYJG,"Produto com alta aceitação entre o público masculino."
010000OMCL,"Sorocaba",SP,100.00,90.00,,01000KRYJG,"Produto com alta aceitação entre o público masculino."
010000ZC04,"Sorocaba",SP,100.00,90.00,,01000KRYJG,"Produto com alta aceitação entre o público masculino."
0100023J4P,"Sorocaba",SP,100.00,90.00,,01000KRYJG,"Produto com alta aceitação entre o público masculino."
010000OP6L,"Sorocaba",SP,100.00,90.00,,01000KRYJG,"Produto com alta aceitação entre o público masculino."
0100025T0C,"Sorocaba",SP,100.00,90.00,,01000FLBGS,"Produto muito procurado por clientes corporativos."
010000QE09,"Sorocaba",SP,100.00,90.00,,01000KRYJG,"Produto com alta aceitação entre o público masculino."
010002A48V,"Sorocaba",SP,100.00,90.00,,01000AYE5G,"Produto muito procurado por clientes corporativos."
0100029TVA,"Sorocaba",SP,100.00,90.00,,01000KRYJG,"Produto com alta aceitação entre o público masculino."
010000ZM65,"Sorocaba",SP,100.00,90.00,,01000AYE5G,"Produto muito procurado por clientes corporativos."
010000QMQU,"Sorocaba",SP,100.00,90.00,,01000KRYJG,"Produto com alta aceitação entre o público masculino."
010000L69D,"Sorocaba",SP,100.00,90.00,,01000KRYJG,"Sucesso de vendas na sua região."
010000OT5T,"Sorocaba",SP,100.00,90.00,,01000KRYJG,"Produto com alta aceitação entre o público masculino."
010000JWDV,"Sorocaba",SP,100.00,90.00,,01000KRYJG,"Sucesso de vendas na sua região."
010000QRV5,"Sorocaba",SP,100.00,90.00,,01000KRYJG,"Produto com alta aceitação entre o público masculino."
0100010105,"Sorocaba",SP,100.00,90.00,,01000FLBGS,"Produto muito procurado por clientes corporativos."
010000LK42,"Sorocaba",SP,100.00,90.00,,01000KRYJG,"Sucesso de vendas na sua região."
01000104KU,"Sorocaba",SP,100.00,90.00,,01000FXF0I,"Produto com alta aceitação entre o público masculino."
010000OV16,"Sorocaba",SP,100.00,90.00,,01000N2W4T,"Sucesso de vendas na sua região."
010001071D,"Sorocaba",SP,100.00,90.00,,01000FLBGS,"Produto muito procurado por clientes corporativos."
010002AY00,"Sorocaba",SP,100.00,90.00,,01000FXF0I,"Produto com alta aceitação entre o público masculino."
0100028PDY,"Sorocaba",SP,100.00,90.00,,01000AYE5G,"Produto muito procurado por clientes corporativos."
010002AN4Z,"Sorocaba",SP,100.00,90.00,,01000FLBGS,"Produto muito procurado por clientes corporativos."
010002BG61,"Sorocaba",SP,100.00,90.00,,01000FLBGS,"Produto muito procurado por clientes corporativos."
010000OXF7,"Sorocaba",SP,100.00,90.00,,01000KJ0V5,"Sucesso de vendas na sua região."
010000RPKA,"Sorocaba",SP,100.00,90.00,,01000KRYJG,"Sucesso de vendas na sua região."
010000RUFZ,"Sorocaba",SP,100.00,90.00,,01000KJ0V5,"Sucesso de vendas na sua região."
0100024X02,"Sorocaba",SP,100.00,90.00,,01000FLBGS,"Produto muito procurado por clientes corporativos."
0100010PHE,"Sorocaba",SP,100.00,90.00,,01000FXF0I,"Produto com alta aceitação entre o público masculino."
0100025MO3,"Sorocaba",SP,100.00,90.00,,01000KRYJG,"Produto com alta aceitação entre o público masculino."
0100025N78,"Sorocaba",SP,100.00,90.00,,01000AYE5G,"Produto muito procurado por clientes corporativos."
010000PRKN,"Sorocaba",SP,100.00,90.00,,01000KRYJG,"Produto com alta aceitação entre o público masculino."
010002CT8D,"Sorocaba",SP,100.00,90.00,,01000KRYJG,"Produto com alta aceitação entre o público masculino."
0100029M04,"Sorocaba",SP,100.00,90.00,,01000KRYJG,"Produto com alta aceitação entre o público masculino."
010002892O,"Sorocaba",SP,100.00,90.00,,01000KRYJG,"Produto com alta aceitação entre o público masculino."
010000P1C5,"Sorocaba",SP,100.00,90.00,,01000KRYJG,"Sucesso de vendas na sua região."
0100025H5K,"Sorocaba",SP,100.00,90.00,,01000AYE5G,"Produto muito procurado por clientes corporativos."
0100025RDE,"Sorocaba",SP,100.00,90.00,,01000E0HFX,"Produto com alta aceitação entre o público feminino."
01000113K8,"Sorocaba",SP,100.00,90.00,,01000FXF0I,"Produto com alta aceitação entre o público masculino."
010000W18W,"Sorocaba",SP,100.00,90.00,,0100B5RE0X,"Produto muito procurado por clientes corporativos."
0100011546,"Sorocaba",SP,100.00,90.00,,01000KRYJG,"Produto com alta aceitação entre o público masculino."
01000265K9,"Sorocaba",SP,100.00,90.00,,01000KRYJG,"Produto com alta aceitação entre o público masculino."
01000246JQ,"Sorocaba",SP,100.00,90.00,,01000KRYJG,"Produto com alta aceitação entre o público masculino."
010000P52C,"Sorocaba",SP,100.00,90.00,,01000KRYJG,"Sucesso de vendas na sua região."
010002369F,"Sorocaba",SP,100.00,90.00,,01000KRYJG,"Produto com alta aceitação entre o público masculino."
0100011G17,"Sorocaba",SP,100.00,90.00,,01000E0HFX,"Produto com alta aceitação entre o público feminino."
0100011H1C,"Sorocaba",SP,100.00,90.00,,01000AYE5G,"Produto muito procurado por clientes corporativos."
0100011I59,"Sorocaba",SP,100.00,90.00,,01000AYE5G,"Produto muito procurado por clientes corporativos."
010000K1GW,"Sorocaba",SP,100.00,90.00,,01000KJ0V5,"Sucesso de vendas na sua região."
010000MD1O,"Sorocaba",SP,100.00,90.00,,01000N2W4T,"Sucesso de vendas na sua região."
010002517S,"Sorocaba",SP,100.00,90.00,,01000FLBGS,"Produto muito procurado por clientes corporativos."
0100011N1C,"Sorocaba",SP,100.00,90.00,,01000AYE5G,"Produto muito procurado por clientes corporativos."
010000KQ3S,"Sorocaba",SP,100.00,90.00,,01000KRYJG,"Produto com alta aceitação entre o público masculino."
0100011R0T,"Sorocaba",SP,100.00,90.00,,01000FLBGS,"Produto muito procurado por clientes corporativos."
010000PA73,"Sorocaba",SP,100.00,90.00,,01000KRYJG,"Produto com alta aceitação entre o público masculino."
0100011V98,"Sorocaba",SP,100.00,90.00,,01000AYE5G,"Produto muito procurado por clientes corporativos."
0100011W0T,"Sorocaba",SP,100.00,90.00,,01000AYE5G,"Produto muito procurado por clientes corporativos."
010000WQAK,"Sorocaba",SP,100.00,90.00,,01000AYE5G,"Produto muito procurado por clientes corporativos."
010000KT5Y,"Sorocaba",SP,100.00,90.00,,01000KRYJG,"Sucesso de vendas na sua região."
010000PB28,"Sorocaba",SP,100.00,90.00,,01000KRYJG,"Produto com alta aceitação entre o público masculino."
010000WT5P,"Sorocaba",SP,100.00,90.00,,01000FLBGS,"Produto muito procurado por clientes corporativos."
0100027D48,"Sorocaba",SP,100.00,90.00,,01000FLBGS,"Produto muito procurado por clientes corporativos."
010002CB90,"Sorocaba",SP,100.00,90.00,,01000FLBGS,"Produto muito procurado por clientes corporativos."
0100029B2B,"Sorocaba",SP,100.00,90.00,,01000FLBGS,"Produto muito procurado por clientes corporativos."
0100012A9U,"Sorocaba",SP,100.00,90.00,,01000AYE5G,"Produto muito procurado por clientes corporativos."
010001DYAF,"Sorocaba",SP,100.00,90.00,,01000KRYJG,"Produto com alta aceitação entre o público masculino."
010002A8BT,"Sorocaba",SP,100.00,90.00,,01000FLBGS,"Produto muito procurado por clientes corporativos."
0100027AEH,"Sorocaba",SP,100.00,90.00,,01000KRYJG,"Produto com alta aceitação entre o público masculino."
0100012F43,"Sorocaba",SP,100.00,90.00,,01000AYE5G,"Produto muito procurado por clientes corporativos."
0100026J22,"Sorocaba",SP,100.00,90.00,,01000KRYJG,"Produto com alta aceitação entre o público masculino."
010000X28X,"Sorocaba",SP,100.00,90.00,,0100B5RE0X,"Produto com alta aceitação entre o público feminino."
0100025L3D,"Sorocaba",SP,100.00,90.00,,01000FXF0I,"Produto com alta aceitação entre o público masculino."
0100029VKU,"Sorocaba",SP,100.00,90.00,,01000AYE5G,"Produto muito procurado por clientes corporativos."
0100026B6N,"Sorocaba",SP,100.00,90.00,,01000AYE5G,"Produto muito procurado por clientes corporativos."
010000KU0B,"Sorocaba",SP,100.00,90.00,,01000KRYJG,"Sucesso de vendas na sua região."
0100029W4P,"Sorocaba",SP,100.00,90.00,,01000AYE5G,"Produto muito procurado por clientes corporativos."
0100026H20,"Sorocaba",SP,100.00,90.00,,01000KRYJG,"Produto com alta aceitação entre o público masculino."
0100028V19,"Sorocaba",SP,100.00,90.00,,01000KRYJG,"Produto com alta aceitação entre o público masculino."
010000N71T,"Sorocaba",SP,100.00,90.00,,01000N2W4T,"Sucesso de vendas na sua região."
0100028Q3B,"Sorocaba",SP,100.00,90.00,,01000AYE5G,"Produto muito procurado por clientes corporativos."
010000XD23,"Sorocaba",SP,100.00,90.00,,01000AYE5G,"Produto muito procurado por clientes corporativos."
010002A000,"Sorocaba",SP,100.00,90.00,,01000FLBGS,"Produto muito procurado por clientes corporativos."
010000PK8A,"Sorocaba",SP,100.00,90.00,,01000KJ0V5,"Sucesso de vendas na sua região."
010002AA0X,"Sorocaba",SP,100.00,90.00,,01000AYE5G,"Produto muito procurado por clientes corporativos."
010000K40K,"Sorocaba",SP,100.00,90.00,,01000KRYJG,"Sucesso de vendas na sua região."
010002885E,"Sorocaba",SP,100.00,90.00,,01000KRYJG,"Produto com alta aceitação entre o público masculino."
0100029N88,"Sorocaba",SP,100.00,90.00,,01000FLBGS,"Produto muito procurado por clientes corporativos."
01000271DK,"Sorocaba",SP,100.00,90.00,,01000AYE5G,"Produto muito procurado por clientes corporativos."
010000O4BO,"Sorocaba",SP,100.00,90.00,,01000KRYJG,"Produto com alta aceitação entre o público masculino."
010000PN1K,"Sorocaba",SP,100.00,90.00,,01000KRYJG,"Produto com alta aceitação entre o público masculino."
0100026X0R,"Sorocaba",SP,100.00,90.00,,01000KRYJG,"Produto com alta aceitação entre o público masculino."
0100024O2L,"Sorocaba",SP,100.00,90.00,,01000KRYJG,"Produto com alta aceitação entre o público masculino."
0100025832,"Sorocaba",SP,100.00,90.00,,01000FLBGS,"Produto muito procurado por clientes corporativos."
0100028RH6,"Sorocaba",SP,100.00,90.00,,01000KRYJG,"Produto com alta aceitação entre o público masculino."
0100026NSU,"Sorocaba",SP,100.00,90.00,,01000KRYJG,"Produto com alta aceitação entre o público masculino."
010002676R,"Sorocaba",SP,100.00,90.00,,01000KRYJG,"Produto com alta aceitação entre o público masculino."
0100029SBV,"Sorocaba",SP,100.00,90.00,,01000KRYJG,"Produto com alta aceitação entre o público masculino."
010002C468,"Sorocaba",SP,100.00,90.00,,01000KRYJG,"Produto com alta aceitação entre o público masculino."
010002D94Q,"Sorocaba",SP,100.00,90.00,,01000FLBGS,"Produto muito procurado por clientes corporativos."
010000Y22J,"Sorocaba",SP,100.00,90.00,,01000KRYJG,"Produto com alta aceitação entre o público masculino."
010000PS3T,"Sorocaba",SP,100.00,90.00,,01000FXF0I,"Produto com alta aceitação entre o público masculino."
010002780D,"Sorocaba",SP,100.00,90.00,,01000KRYJG,"Produto com alta aceitação entre o público masculino."
0100014A1L,"Sorocaba",SP,100.00,90.00,,01000FLBGS,"Produto muito procurado por clientes corporativos."
010002A755,"Sorocaba",SP,100.00,90.00,,01000KRYJG,"Produto com alta aceitação entre o público masculino."
010000KGE9,"Sorocaba",SP,100.00,90.00,,01000KRYJG,"Sucesso de vendas na sua região."
010002BU7Y,"Sorocaba",SP,100.00,90.00,,01000AYE5G,"Produto muito procurado por clientes corporativos."
010002DW47,"Sorocaba",SP,100.00,90.00,,01000KRYJG,"Produto com alta aceitação entre o público masculino."
