idpessoa,uf,cidade,risk_score,abc,recommended_product,reason,pitch
0100BCK41G,SP,"Sorocaba",97.60,A,01003M2TI3,CHURN_REVERSAL_HOOK,"Oferecer reposição do seu produto favorito."
01005LJ101,SP,"Sorocaba",99.99,A,01000N2O0Y,CROSS_SELL_BOUGHT_TOGETHER,"Novidade do catálogo."
01005YQYGS,SP,"Sorocaba",99.97,A,0100B5RE0X,CROSS_SELL_BOUGHT_TOGETHER,"Novidade do catálogo."
01005HN13H,SP,"Sorocaba",99.88,A,0100B5RE0X,CROSS_SELL_BOUGHT_TOGETHER,"Novidade do catálogo."
0100632T2Q,SP,"Sorocaba",99.85,A,01000OKD0E,CHURN_REVERSAL_HOOK,"Oferecer reposição do seu produto favorito."
0100DPDV02,SP,"Sorocaba",80.94,A,01003UFKEG,CROSS_SELL_BOUGHT_TOGETHER,"Novidade do catálogo."
0100CNJU7L,SP,"Sorocaba",82.13,A,01008MAD0O,CROSS_SELL_BOUGHT_TOGETHER,"Novidade do catálogo."
0100E07MDC,SP,"Sorocaba",73.33,A,01000FXF0I,CROSS_SELL_BOUGHT_TOGETHER,"Novidade do catálogo."
010002320Q,SP,"Sorocaba",73.93,A,01000N2O0Y,CROSS_SELL_BOUGHT_TOGETHER,"Novidade do catálogo."
010003QE06,SP,"Sorocaba",71.81,A,01000NP78Q,CROSS_SELL_BOUGHT_TOGETHER,"Novidade do catálogo."
0100BI726P,SP,"Sorocaba",78.41,A,01000M1H3G,CROSS_SELL_BOUGHT_TOGETHER,"Novidade do catálogo."
0100ANTXME,SP,"Sorocaba",99.64,A,0100AIKLJX,CHURN_REVERSAL_HOOK,"Oferecer reposição do seu produto favorito."
0100050ZAF,SP,"Sorocaba",71.18,A,01000E0HFX,CROSS_SELL_BOUGHT_TOGETHER,"Novidade do catálogo."
010002BR11,SP,"Sorocaba",99.94,A,010091Q7D8,CROSS_SELL_BOUGHT_TOGETHER,"Novidade do catálogo."
0100BMOP0N,SP,"Sorocaba",98.59,A,01003UFKEG,CROSS_SELL_BOUGHT_TOGETHER,"Novidade do catálogo."
010001WUAI,SP,"Sorocaba",96.11,A,01000EPOAI,CROSS_SELL_BOUGHT_TOGETHER,"Novidade do catálogo."
0100BD6MIK,SP,"Sorocaba",99.38,A,01003M2X92,CROSS_SELL_BOUGHT_TOGETHER,"Novidade do catálogo."
0100CXMCHV,SP,"Sorocaba",91.98,A,01008C9MAO,BOUGHT_PREVIOUSLY,"Novidade do catálogo."
0100054P3Z,SP,"Sorocaba",97.69,A,0100B5RE0X,CROSS_SELL_BOUGHT_TOGETHER,"Novidade do catálogo."
01000908AO,SP,"Sorocaba",99.52,A,01000M3LP0,CROSS_SELL_BOUGHT_TOGETHER,"Novidade do catálogo."
0100B9E319,SP,"Sorocaba",98.95,A,01003M2TI3,CROSS_SELL_BOUGHT_TOGETHER,"Novidade do catálogo."
0100AHRQ21,SP,"Sorocaba",75.70,A,01000KRYJG,CROSS_SELL_BOUGHT_TOGETHER,"Novidade do catálogo."
0100AG3Y08,SP,"Sorocaba",99.90,A,01000L5K4V,CROSS_SELL_BOUGHT_TOGETHER,"Novidade do catálogo."
0100E0YP37,SP,"Sorocaba",75.45,A,0100ATO481,CHURN_REVERSAL_HOOK,"Oferecer reposição do seu produto favorito."
0100B7UP1W,SP,"Sorocaba",99.07,A,0100B5RE0X,CHURN_REVERSAL_HOOK,"Oferecer reposição do seu produto favorito."
0100935Z9S,SP,"Sorocaba",78.17,A,01000KRYJG,CROSS_SELL_BOUGHT_TOGETHER,"Novidade do catálogo."
0100B77T4Q,SP,"Sorocaba",99.08,A,0100B5RE0X,CROSS_SELL_BOUGHT_TOGETHER,"Novidade do catálogo."
010069RL4Z,SP,"Sorocaba",98.48,A,01000AYE5G,CROSS_SELL_BOUGHT_TOGETHER,"Novidade do catálogo."
010001NDCG,SP,"Sorocaba",87.02,A,01000GE1AU,CROSS_SELL_BOUGHT_TOGETHER,"Novidade do catálogo."
0100CFQU5W,SP,"Sorocaba",96.36,A,01003M2TI3,BOUGHT_PREVIOUSLY,"Novidade do catálogo."
0100CO7E3B,SP,"Sorocaba",74.51,A,01000LAF1J,CHURN_REVERSAL_HOOK,"Oferecer reposição do seu produto favorito."
0100BQZJHH,SP,"Sorocaba",84.36,A,01000N2O0Y,CROSS_SELL_BOUGHT_TOGETHER,"Novidade do catálogo."
0100DRDEGW,SP,"Sorocaba",80.18,A,0100B5RE0X,CROSS_SELL_BOUGHT_TOGETHER,"Novidade do catálogo."
010002AI7B,SP,"Sorocaba",99.93,A,010009QZ8S,BOUGHT_PREVIOUSLY,"Novidade do catálogo."
0100CKSF2H,SP,"Sorocaba",82.06,A,01000CD2N4,CROSS_SELL_BOUGHT_TOGETHER,"Novidade do catálogo."
0100B8IMI8,SP,"Sorocaba",99.53,A,01000MZK3V,CHURN_REVERSAL_HOOK,"Oferecer reposição do seu produto favorito."
0100626ABZ,SP,"Sorocaba",99.98,A,01000KRYJG,CROSS_SELL_BOUGHT_TOGETHER,"Novidade do catálogo."
0100B83W1Y,SP,"Sorocaba",89.18,A,0100B5RE0X,CHURN_REVERSAL_HOOK,"Oferecer reposição do seu produto favorito."
0100B7RL08,SP,"Sorocaba",77.15,A,01000MZK3V,CHURN_REVERSAL_HOOK,"Oferecer reposição do seu produto favorito."
0100CKGB2C,SP,"Sorocaba",89.11,A,01000KZTDQ,CROSS_SELL_BOUGHT_TOGETHER,"Novidade do catálogo."
010064CM20,SP,"Sorocaba",83.72,A,01000CMYDQ,CHURN_REVERSAL_HOOK,"Oferecer reposição do seu produto favorito."
0100CS8DBX,SP,"Sorocaba",71.85,A,01008MAD0O,CROSS_SELL_BOUGHT_TOGETHER,"Novidade do catálogo."
010002B93K,SP,"Sorocaba",98.50,A,01000AYE5G,CROSS_SELL_BOUGHT_TOGETHER,"Novidade do catálogo."
010002D003,SP,"Sorocaba",91.54,A,01000M1H3G,CHURN_REVERSAL_HOOK,"Oferecer reposição do seu produto favorito."
0100C1ZXGU,SP,"Sorocaba",97.80,A,01000NXR1V,CROSS_SELL_BOUGHT_TOGETHER,"Novidade do catálogo."
0100DY0V9E,SP,"Sorocaba",74.78,A,01000N2W4T,CROSS_SELL_BOUGHT_TOGETHER,"Novidade do catálogo."
0100AQUQ0D,SP,"Sorocaba",99.59,A,01000NOX3W,CROSS_SELL_BOUGHT_TOGETHER,"Novidade do catálogo."
0100B2ZW2Z,SP,"Sorocaba",99.74,A,01000O0D69,CROSS_SELL_BOUGHT_TOGETHER,"Novidade do catálogo."
010093MFI7,SP,"Sorocaba",99.89,A,01008BFHJ9,CHURN_REVERSAL_HOOK,"Oferecer reposição do seu produto favorito."
0100BKNF9A,SP,"Sorocaba",99.14,A,01000LQY0G,CROSS_SELL_BOUGHT_TOGETHER,"Novidade do catálogo."
010008QX03,SP,"Sorocaba",96.97,A,01000LD568,CROSS_SELL_BOUGHT_TOGETHER,"Novidade do catálogo."
0100AX9J5O,SP,"Sorocaba",99.77,A,01000FLBGS,CROSS_SELL_BOUGHT_TOGETHER,"Novidade do catálogo."
0100CWH0KS,SP,"Sorocaba",83.50,A,01000AYCA1,CROSS_SELL_BOUGHT_TOGETHER,"Novidade do catálogo."
0100CTA20J,SP,"Sorocaba",92.90,A,01000M1H3G,CROSS_SELL_BOUGHT_TOGETHER,"Novidade do catálogo."
0100BPKN2H,SP,"Sorocaba",96.22,A,01000N2W4T,CROSS_SELL_BOUGHT_TOGETHER,"Novidade do catálogo."
0100DR8KCJ,SP,"Sorocaba",79.13,A,01000IHB7L,CHURN_REVERSAL_HOOK,"Oferecer reposição do seu produto favorito."
0100BGCC19,SP,"Sorocaba",99.39,A,0100B8PEGL,CHURN_REVERSAL_HOOK,"Oferecer reposição do seu produto favorito."
0100CGTC0A,SP,"Sorocaba",92.84,A,01000CFJDA,BOUGHT_PREVIOUSLY,"Novidade do catálogo."
01005HDE5N,SP,"Sorocaba",100.00,A,01003M2TI3,CROSS_SELL_BOUGHT_TOGETHER,"Novidade do catálogo."
0100CPBM30,SP,"Sorocaba",93.73,A,01003M2X92,CROSS_SELL_BOUGHT_TOGETHER,"Novidade do catálogo."
01008YEF03,SP,"Sorocaba",99.97,A,01000BIXH4,CHURN_REVERSAL_HOOK,"Oferecer reposição do seu produto favorito."
0100012G0K,SP,"Sorocaba",99.84,A,01000MN9C8,CROSS_SELL_BOUGHT_TOGETHER,"Novidade do catálogo."
01008YJ1FB,SP,"Sorocaba",99.90,A,01000B0VPV,CROSS_SELL_BOUGHT_TOGETHER,"Novidade do catálogo."
0100BETY0N,SP,"Sorocaba",98.62,A,01005BW49V,CHURN_REVERSAL_HOOK,"Oferecer reposição do seu produto favorito."
0100DOPEBE,SP,"Sorocaba",81.80,A,01001QJ95O,CHURN_REVERSAL_HOOK,"Oferecer reposição do seu produto favorito."
0100BQQ24O,SP,"Sorocaba",96.43,A,01000KEF01,CROSS_SELL_BOUGHT_TOGETHER,"Novidade do catálogo."
0100D5WH8O,SP,"Sorocaba",89.56,A,01000MLN02,CHURN_REVERSAL_HOOK,"Oferecer reposição do seu produto favorito."
0100BKCVW0,SP,"Sorocaba",99.24,A,01000HQR02,CHURN_REVERSAL_HOOK,"Oferecer reposição do seu produto favorito."
0100638I57,SP,"Sorocaba",96.47,A,010091Q7D8,CROSS_SELL_BOUGHT_TOGETHER,"Novidade do catálogo."
0100C2N37R,SP,"Sorocaba",82.60,A,01008SSG0T,CROSS_SELL_BOUGHT_TOGETHER,"Novidade do catálogo."
01000204ME,SP,"Sorocaba",98.03,A,01000KLX5P,CROSS_SELL_BOUGHT_TOGETHER,"Novidade do catálogo."
010003LU0L,SP,"Sorocaba",70.01,A,01000AYE5G,CROSS_SELL_BOUGHT_TOGETHER,"Novidade do catálogo."
0100AM6E6E,SP,"Sorocaba",99.82,A,01000HW14B,CHURN_REVERSAL_HOOK,"Oferecer reposição do seu produto favorito."
0100C3AL6I,SP,"Sorocaba",95.02,A,01000N3490,CROSS_SELL_BOUGHT_TOGETHER,"Novidade do catálogo."
0100CEUQBA,SP,"Sorocaba",92.28,A,01000MN9C8,CROSS_SELL_BOUGHT_TOGETHER,"Novidade do catálogo."
0100DKM475,SP,"Sorocaba",80.01,A,0100B5RE0X,CROSS_SELL_BOUGHT_TOGETHER,"Novidade do catálogo."
0100BHXIEF,SP,"Sorocaba",72.13,A,01000NWI43,CHURN_REVERSAL_HOOK,"Oferecer reposição do seu produto favorito."
0100CGWAH0,SP,"Sorocaba",95.94,A,01000HZP9V,BOUGHT_PREVIOUSLY,"Novidade do catálogo."
0100B7GC0B,SP,"Sorocaba",99.15,A,01000QMDMA,CHURN_REVERSAL_HOOK,"Oferecer reposição do seu produto favorito."
010092OUHJ,SP,"Sorocaba",99.96,A,01000BSJ4X,CHURN_REVERSAL_HOOK,"Oferecer reposição do seu produto favorito."
010004JQFB,SP,"Sorocaba",99.95,A,01000J287S,BOUGHT_PREVIOUSLY,"Novidade do catálogo."
0100BPVXP2,SP,"Sorocaba",97.30,A,01000O0D69,CROSS_SELL_BOUGHT_TOGETHER,"Novidade do catálogo."
010093FMC1,SP,"Sorocaba",99.83,A,01000MN9C8,CROSS_SELL_BOUGHT_TOGETHER,"Novidade do catálogo."
0100D6FLLE,SP,"Sorocaba",90.30,A,0100D3JANG,CHURN_REVERSAL_HOOK,"Oferecer reposição do seu produto favorito."
0100CIQD17,SP,"Sorocaba",90.70,A,01000FLBGS,CROSS_SELL_BOUGHT_TOGETHER,"Novidade do catálogo."
010000Y91X,SP,"Sorocaba",99.36,A,01003M2TI3,CROSS_SELL_BOUGHT_TOGETHER,"Novidade do catálogo."
0100DSQ390,SP,"Sorocaba",80.66,A,010062M03O,CHURN_REVERSAL_HOOK,"Oferecer reposição do seu produto favorito."
01008NC9FE,SP,"Sorocaba",96.48,A,01000DGVFZ,CROSS_SELL_BOUGHT_TOGETHER,"Novidade do catálogo."
0100AXH4MM,SP,"Sorocaba",83.72,A,01000L9I47,CROSS_SELL_BOUGHT_TOGETHER,"Novidade do catálogo."
010002BY13,SP,"Sorocaba",75.60,A,01000EPOAI,CROSS_SELL_BOUGHT_TOGETHER,"Novidade do catálogo."
0100COSK0D,SP,"Sorocaba",93.65,A,01000KRYJG,CROSS_SELL_BOUGHT_TOGETHER,"Novidade do catálogo."
010000XNGA,SP,"Sorocaba",98.65,A,01003N54AC,CROSS_SELL_BOUGHT_TOGETHER,"Novidade do catálogo."
010001IWHX,SP,"Sorocaba",100.00,A,01000M3LP0,CROSS_SELL_BOUGHT_TOGETHER,"Novidade do catálogo."
0100C4V16A,SP,"Sorocaba",82.71,A,0100B5RE0X,CROSS_SELL_BOUGHT_TOGETHER,"Novidade do catálogo."
0100B9V6C7,SP,"Sorocaba",98.87,A,01000EPOAI,CROSS_SELL_BOUGHT_TOGETHER,"Novidade do catálogo."
010005BU2Q,SP,"Sorocaba",85.32,A,01000M1H3G,CHURN_REVERSAL_HOOK,"Oferecer reposição do seu produto favorito."
01006BRT1V,SP,"Sorocaba",99.33,A,01003M2X92,CROSS_SELL_BOUGHT_TOGETHER,"Novidade do catálogo."
01008XZM89,SP,"Sorocaba",99.94,A,01000N2O0Y,CROSS_SELL_BOUGHT_TOGETHER,"Novidade do catálogo."
010062GS0J,SP,"Sorocaba",90.72,A,01000KJ0V5,CROSS_SELL_BOUGHT_TOGETHER,"Novidade do catálogo."
0100AYDT27,SP,"Sorocaba",99.73,A,01003M2X92,CROSS_SELL_BOUGHT_TOGETHER,"Novidade do catálogo."
01005JS3CT,SP,"Sorocaba",100.00,A,0100B5RE0X,CROSS_SELL_BOUGHT_TOGETHER,"Novidade do catálogo."
0100BR3O6W,SP,"Sorocaba",97.25,A,01000JSA6V,CHURN_REVERSAL_HOOK,"Oferecer reposição do seu produto favorito."
010098LT6A,SP,"Sorocaba",97.15,A,01000NP78Q,CROSS_SELL_BOUGHT_TOGETHER,"Novidade do catálogo."
0100AN817A,SP,"Sorocaba",99.67,A,01000AYCA1,CROSS_SELL_BOUGHT_TOGETHER,"Novidade do catálogo."
0100C3URB8,SP,"Sorocaba",98.01,A,01000EPOAI,CROSS_SELL_BOUGHT_TOGETHER,"Novidade do catálogo."
0100B6WBI0,SP,"Sorocaba",93.05,A,01000MN9C8,CROSS_SELL_BOUGHT_TOGETHER,"Novidade do catálogo."
0100APW941,SP,"Sorocaba",99.62,A,01001QOI2W,CHURN_REVERSAL_HOOK,"Oferecer reposição do seu produto favorito."
0100COH00D,SP,"Sorocaba",94.68,A,01000AYCA1,CHURN_REVERSAL_HOOK,"Oferecer reposição do seu produto favorito."
0100B5DC01,SP,"Sorocaba",99.64,A,01000L9WBF,CROSS_SELL_BOUGHT_TOGETHER,"Novidade do catálogo."
0100ALDOA4,SP,"Sorocaba",99.87,A,01000L5K4V,CROSS_SELL_BOUGHT_TOGETHER,"Novidade do catálogo."
0100DWJ3EH,SP,"Sorocaba",76.07,A,01000N2W4T,CROSS_SELL_BOUGHT_TOGETHER,"Novidade do catálogo."
0100B7T431,SP,"Sorocaba",99.63,A,0100B5RE0X,CROSS_SELL_BOUGHT_TOGETHER,"Novidade do catálogo."
0100BA88C7,SP,"Sorocaba",99.55,A,01000O2I1H,CROSS_SELL_BOUGHT_TOGETHER,"Novidade do catálogo."
010094IF9I,SP,"Sorocaba",99.89,A,01000L9C3U,CROSS_SELL_BOUGHT_TOGETHER,"Novidade do catálogo."
0100CK4L39,SP,"Sorocaba",89.87,A,01000NUL0T,CROSS_SELL_BOUGHT_TOGETHER,"Novidade do catálogo."
010007N2BG,SP,"Sorocaba",99.45,A,01000I721Q,BOUGHT_PREVIOUSLY,"Novidade do catálogo."
01008CIR23,SP,"Sorocaba",99.95,A,01000AYE5G,CROSS_SELL_BOUGHT_TOGETHER,"Novidade do catálogo."
0100BI0CPJ,SP,"Sorocaba",97.75,A,0100B5RE0X,CHURN_REVERSAL_HOOK,"Oferecer reposição do seu produto favorito."
0100BXIP1W,SP,"Sorocaba",98.28,A,01000USZ2R,CROSS_SELL_BOUGHT_TOGETHER,"Novidade do catálogo."
0100D97W1U,SP,"Sorocaba",77.97,A,01000NAX5H,CHURN_REVERSAL_HOOK,"Oferecer reposição do seu produto favorito."
0100CVPMC2,SP,"Sorocaba",85.16,A,01000L5K4V,CROSS_SELL_BOUGHT_TOGETHER,"Novidade do catálogo."
0100B37Q86,SP,"Sorocaba",99.72,A,01003M2X92,CROSS_SELL_BOUGHT_TOGETHER,"Novidade do catálogo."
010001RRMI,SP,"Sorocaba",97.02,A,0100B5RE0X,CHURN_REVERSAL_HOOK,"Oferecer reposição do seu produto favorito."
0100BYMI28,SP,"Sorocaba",98.44,A,0100B5RE0X,CHURN_REVERSAL_HOOK,"Oferecer reposição do seu produto favorito."
010002VWAY,SP,"Sorocaba",85.85,A,0100B5RE0X,CHURN_REVERSAL_HOOK,"Oferecer reposição do seu produto favorito."
0100BB5F65,SP,"Sorocaba",99.55,A,01005BW49V,CHURN_REVERSAL_HOOK,"Oferecer reposição do seu produto favorito."
010001NNCO,SP,"Sorocaba",96.87,A,010009MW0A,BOUGHT_PREVIOUSLY,"Novidade do catálogo."
0100AFU9RA,SP,"Sorocaba",93.60,A,01000O0D69,CROSS_SELL_BOUGHT_TOGETHER,"Novidade do catálogo."
010001NO8J,SP,"Sorocaba",98.55,A,01000EID6D,CHURN_REVERSAL_HOOK,"Oferecer reposição do seu produto favorito."
0100C31H4H,SP,"Sorocaba",97.73,A,01000CD2N4,CROSS_SELL_BOUGHT_TOGETHER,"Novidade do catálogo."
0100B2UNLC,SP,"Sorocaba",99.32,A,01000FLBGS,CROSS_SELL_BOUGHT_TOGETHER,"Novidade do catálogo."
0100B66K0S,SP,"Sorocaba",74.00,A,01000N2W4T,CROSS_SELL_BOUGHT_TOGETHER,"Novidade do catálogo."
01003K0IL3,SP,"Sorocaba",76.74,A,01000N2O0Y,CROSS_SELL_BOUGHT_TOGETHER,"Novidade do catálogo."
010001Q805,SP,"Sorocaba",99.07,A,01001QNO2P,CHURN_REVERSAL_HOOK,"Oferecer reposição do seu produto favorito."
0100DXY37W,SP,"Sorocaba",75.90,A,0100B5RE0X,CROSS_SELL_BOUGHT_TOGETHER,"Novidade do catálogo."
01009H7D9B,SP,"Sorocaba",99.81,A,01000KRYJG,CROSS_SELL_BOUGHT_TOGETHER,"Novidade do catálogo."
010005FAIT,SP,"Sorocaba",93.42,A,01000L5M0Y,CROSS_SELL_BOUGHT_TOGETHER,"Novidade do catálogo."
01009C4GOX,SP,"Sorocaba",99.86,A,01000AYCA1,CROSS_SELL_BOUGHT_TOGETHER,"Novidade do catálogo."
01008HFJ97,SP,"Sorocaba",99.98,A,010091Q7D8,CROSS_SELL_BOUGHT_TOGETHER,"Novidade do catálogo."
01009F5L8D,SP,"Sorocaba",96.38,A,01000FLBGS,CROSS_SELL_BOUGHT_TOGETHER,"Novidade do catálogo."
0100056E5G,SP,"Sorocaba",98.12,A,01000N2M1N,CROSS_SELL_BOUGHT_TOGETHER,"Novidade do catálogo."
01008X3X37,SP,"Sorocaba",99.97,A,01003M2X92,CROSS_SELL_BOUGHT_TOGETHER,"Novidade do catálogo."
0100C3SDEV,SP,"Sorocaba",79.16,A,0100BVGH2H,CROSS_SELL_BOUGHT_TOGETHER,"Novidade do catálogo."
0100B27CIC,SP,"Sorocaba",99.40,A,0100B5RE0X,CROSS_SELL_BOUGHT_TOGETHER,"Novidade do catálogo."
0100B77XBD,SP,"Sorocaba",99.59,A,01000DGVFZ,CROSS_SELL_BOUGHT_TOGETHER,"Novidade do catálogo."
010002O2JG,SP,"Sorocaba",96.43,A,01000CD901,CROSS_SELL_BOUGHT_TOGETHER,"Novidade do catálogo."
0100DFY80J,SP,"Sorocaba",72.54,A,01000CSZ5V,CROSS_SELL_BOUGHT_TOGETHER,"Novidade do catálogo."
0100AN8227,SP,"Sorocaba",99.86,A,01000HW14B,BOUGHT_PREVIOUSLY,"Novidade do catálogo."
0100BIBTH3,SP,"Sorocaba",86.22,A,01005BW49V,CHURN_REVERSAL_HOOK,"Oferecer reposição do seu produto favorito."
0100CBAHHQ,SP,"Sorocaba",93.50,A,01000EPOAI,CROSS_SELL_BOUGHT_TOGETHER,"Novidade do catálogo."
0100CSMO4C,SP,"Sorocaba",83.24,A,0100B5RE0X,CHURN_REVERSAL_HOOK,"Oferecer reposição do seu produto favorito."
010002BF3R,SP,"Sorocaba",99.02,A,01000CX98F,CHURN_REVERSAL_HOOK,"Oferecer reposição do seu produto favorito."
0100CJAIAV,SP,"Sorocaba",91.00,A,01000KJ0V5,CROSS_SELL_BOUGHT_TOGETHER,"Novidade do catálogo."
010001374C,SP,"Sorocaba",76.41,A,01000NYFFY,CROSS_SELL_BOUGHT_TOGETHER,"Novidade do catálogo."
0100C6Y393,SP,"Sorocaba",74.77,A,01000JKJ6D,BOUGHT_PREVIOUSLY,"Novidade do catálogo."
0100E6R0KY,SP,"Sorocaba",71.80,A,01000N2E9E,CHURN_REVERSAL_HOOK,"Oferecer reposição do seu produto favorito."
0100CBPT7H,SP,"Sorocaba",97.39,A,01000EPOAI,CROSS_SELL_BOUGHT_TOGETHER,"Novidade do catálogo."
0100E4QE1U,SP,"Sorocaba",71.42,A,01000N2O0Y,CROSS_SELL_BOUGHT_TOGETHER,"Novidade do catálogo."
0100CNJZ1Q,SP,"Sorocaba",94.67,A,01008BFHJ9,CHURN_REVERSAL_HOOK,"Oferecer reposição do seu produto favorito."
0100E2ZTCE,SP,"Sorocaba",73.43,A,01000MT44E,CHURN_REVERSAL_HOOK,"Oferecer reposição do seu produto favorito."
0100C4ED4N,SP,"Sorocaba",90.40,A,01000EEM4R,CROSS_SELL_BOUGHT_TOGETHER,"Novidade do catálogo."
0100B4DOJ6,SP,"Sorocaba",97.61,A,01000MN9C8,CROSS_SELL_BOUGHT_TOGETHER,"Novidade do catálogo."
01008LHB11,SP,"Sorocaba",99.98,A,01000F9M5O,BOUGHT_PREVIOUSLY,"Novidade do catálogo."
0100DYO5BT,SP,"Sorocaba",77.17,A,0100B5RE0X,CHURN_REVERSAL_HOOK,"Oferecer reposição do seu produto favorito."
0100C4FE09,SP,"Sorocaba",98.20,A,0100B5RE0X,CHURN_REVERSAL_HOOK,"Oferecer reposição do seu produto favorito."
0100662A71,SP,"Sorocaba",99.33,A,010009MW0A,CHURN_REVERSAL_HOOK,"Oferecer reposição do seu produto favorito."
0100E9AI51,SP,"Sorocaba",70.24,A,01000EOO77,CROSS_SELL_BOUGHT_TOGETHER,"Novidade do catálogo."
01006W0GTB,SP,"Sorocaba",99.90,A,010009XI6K,CHURN_REVERSAL_HOOK,"Oferecer reposição do seu produto favorito."
010006634L,SP,"Sorocaba",98.70,A,01000FLBGS,CROSS_SELL_BOUGHT_TOGETHER,"Novidade do catálogo."
0100DUBIC6,SP,"Sorocaba",77.96,A,01000DI3QX,CROSS_SELL_BOUGHT_TOGETHER,"Novidade do catálogo."
0100014B18,SP,"Sorocaba",92.08,A,01000LD568,CROSS_SELL_BOUGHT_TOGETHER,"Novidade do catálogo."
0100BOJELF,SP,"Sorocaba",98.99,A,0100B89D0R,CHURN_REVERSAL_HOOK,"Oferecer reposição do seu produto favorito."
0100BON544,SP,"Sorocaba",75.54,A,01000MN9C8,CROSS_SELL_BOUGHT_TOGETHER,"Novidade do catálogo."
0100CV8Y05,SP,"Sorocaba",92.58,A,01000N2M1N,CROSS_SELL_BOUGHT_TOGETHER,"Novidade do catálogo."
010001ZYBZ,SP,"Sorocaba",75.18,A,01000FLBGS,CROSS_SELL_BOUGHT_TOGETHER,"Novidade do catálogo."
0100CJSG6I,SP,"Sorocaba",95.45,A,01000AYCA1,CROSS_SELL_BOUGHT_TOGETHER,"Novidade do catálogo."
01000924CN,SP,"Sorocaba",89.69,A,01000L9WBF,CROSS_SELL_BOUGHT_TOGETHER,"Novidade do catálogo."
0100CEOU68,SP,"Sorocaba",97.08,A,01001QMT66,CHURN_REVERSAL_HOOK,"Oferecer reposição do seu produto favorito."
0100BO2N5T,SP,"Sorocaba",99.08,A,0100B8R68S,CHURN_REVERSAL_HOOK,"Oferecer reposição do seu produto favorito."
0100BF070F,SP,"Sorocaba",99.43,A,01000FLS7T,CHURN_REVERSAL_HOOK,"Oferecer reposição do seu produto favorito."
0100BP9J0D,SP,"Sorocaba",98.91,A,01000M1H3G,CROSS_SELL_BOUGHT_TOGETHER,"Novidade do catálogo."
0100BGTG2J,SP,"Sorocaba",98.59,A,01000KLX5P,CROSS_SELL_BOUGHT_TOGETHER,"Novidade do catálogo."
0100BKU59L,SP,"Sorocaba",99.14,A,01000O0F1T,CROSS_SELL_BOUGHT_TOGETHER,"Novidade do catálogo."
0100BYRQCN,SP,"Sorocaba",98.09,A,01000MLZAU,CROSS_SELL_BOUGHT_TOGETHER,"Novidade do catálogo."
0100CUSDTD,SP,"Sorocaba",93.29,A,010009MW0A,BOUGHT_PREVIOUSLY,"Novidade do catálogo."
01008SG74G,SP,"Sorocaba",99.98,A,0100B5RE0X,CROSS_SELL_BOUGHT_TOGETHER,"Novidade do catálogo."
01005Z3O04,SP,"Sorocaba",99.83,A,01008MAD0O,CROSS_SELL_BOUGHT_TOGETHER,"Novidade do catálogo."
0100B5NN0H,SP,"Sorocaba",99.27,A,01008C86F4,CHURN_REVERSAL_HOOK,"Oferecer reposição do seu produto favorito."
0100BU6S01,SP,"Sorocaba",90.18,A,01003M2X92,CROSS_SELL_BOUGHT_TOGETHER,"Novidade do catálogo."
0100E0F99I,SP,"Sorocaba",74.80,A,0100B5RE0X,CROSS_SELL_BOUGHT_TOGETHER,"Novidade do catálogo."
